pair_id,baseline_original_artifact_complete,treatment_original_artifact_complete,official_safety_recoverable,offline_finalize_status,collision_metric_status,drivable_area_status,artifact_hash_status,baseline_temp_sha256,treatment_temp_sha256,baseline_collision_sha256,treatment_collision_sha256,baseline_drivable_sha256,treatment_drivable_sha256,rerun_required
B1-TSB-01,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,e3de2d46f70635481e45a0dccc109dc5b11119f6f0afc194924b3bc03a78cbff,43b9c4736ce8df769f84449902955f8d8093fb4d7993267765ea9fa315b012bd,5e9b5bb4edada20c1d641ff108818a905968ac75db6808f49150bf3c0ad636e0,eddd251f4101cf0fc2591e0696d687ed254087b9c066de5e373250f74d27e673,5494793b0d47e0e89d3f6b60a817e655294482e8558c3935e6a448db4cc04ec8,a1e226f2ca1bd47ccef7e156e7ab4c72d837bd5aa19c0c798ac6cdad8c130544,NO
B1-TSB-02,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,131b3c6928e41b1ff31cee11dcb6cb625fb567867ca7341ee08f117052ce0715,bdb1b59e98038cbab08c4425d5a1789d6a5b2d1552b1507ab205013c3a05c51d,bf514c3ade7598572995b5224b8ece44cd8608a9af0649a787dfc2e8ae01fdbe,fa8ec302f06279e8b079a673715c66aef5ea73f75731b93a4529cd20988f1a29,602355c8c867e76ea0871864172e82d339d8967d6cb18511d414b0b90c8d9bb1,ba1619dcf2afe313932902445a9f9f4a62d195082ca1f93b7afdba7f7dd5b734,NO
B1-TSB-03,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,dea430be6ef6ad535eacbba588a3ad4d3e6633535d0511edface131f5fb7f4ca,cc7ab238641b1fe0232b989d3fde38c4bb222591f05debb7a746a66572d2f780,6ebbf50866b22513f15b094a3255b261cee72dc2f12ff2eb9e2a668221ff50ff,742649bcd08240a3c3d68f97ab850db775df7b22f024d1b586ce03ec260ca16e,c082c41b56b2dd6eb63e0bf36211fb2ecf3c8f64f05674793815f34a175811c4,73bb577cb3e797fca9ad7ceff34829b8fd0f15b7688f77544cc24b9b4cac4f5c,NO
B1-TSB-04,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,562aa098772dc80b0315d9f7da2d6ee8a4a31581f78c5ea52eabaee69ecc378a,d79b8f613feb4e14fe65e7180dc71f5c2e92a02db582b6b9f01ac90205d68181,67a8f7f34ab4ccc060fa82e9c1763e0009772c5eb1c2c27f57508951c402e0a7,a0e54fb0dfdb10928f92314434ee58f9016508a8b05139867b3a1edfe6fd65d0,5b9eddf2a2a53ea3ee194898e7ffb41e9e167ceac2729fea2957a959535738a9,2ab2595c67197d8ba434893f6cde3fe008bebfe7d2402bc1e9e0dd4f8cb164ff,NO
B1-TSB-05,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,f601e470a4f5c35ce8404b2391af87579844dd4e07469bee258b14d16060daaa,16dbea064bee9fbf2b439d07f56c2f33b4eb4364168528d9d63d68599b929866,8f765f3ea5acb6c9561508bf62e08ec800d72c75244eb6bb86ba4490436a4614,484583c58746626a9e13291d4a6f0ec1ee0d957c0a1c3004746c84d7513b3edb,af38bd7bcad3ee4eae3e35a7cf7019c8207c8b2c0a7ad8b67fcad90438de2017,9d2e75b0a9ea71929a8d8581e825ff06901b8eae8f98884aaa434051cf7129b5,NO
B1-TSB-06,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,12a1c4588bf7e49fcca8dbac1647287cdd50cb21508f9627c6a97807802d3970,d4ed7a5b25e10f773ddab82afae227151f7cf3e7cbf3a6f96d59210fe9ff703c,a529a910ebd735991e08cae7d13643a30851d5cc28c2a8fa36752f538f6c665d,baf78781931acc03acfbd730ddefaa3b950ec1c10b9302303f9feaf3de17ae6a,252f371d957f6829f7a23f7b6b030b9146d981bcc42ea329773b15c1f10240ae,f74c066d9dccbb3a5c9defdb51697d769a8866c2fdb6214566e30435e22f99ce,NO
B1-TSB-07,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,95ad1b64a4ad03b39e70d3f1ed5f2cd6b118bdfd47d98ab7f8b45e72a4916221,d80e4da692cdd426fb6bbd056e8f021d48cb78e466840b13cedc5928ff44183c,d32ba50e40cdf668ba655306b7f06d6c9712215c5e9293eedc7b517c9411b2a1,d6d87d7ce5dcc1c7434a973b738ad5d5abd8f10f2f20fc11e300446b40a7959d,869cc26936a51cff09623075f9d58b00f8002025053f7316bf927ea58e97aaa4,2316d5684027cbefbd9f872aec42a5c95d582b25819df3a42f43350ecbef6c13,NO
B1-TSB-08,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,0b377059e06d5f773e599f2480ed0d512c55ddf5cecd2249a80169f15d7235b0,2fdd7c85f216ee08dbf57ebbbead38cd39f7b9e852112bfaf72a6567f8577049,8d723173384e84c3056671ba7d221dfdc038b164a6af31b531ab0411c9c19bed,4df348a4dccb780a95b3db29ff0fb68f023f5e936bad989339f95f44e3524502,1b871c8076e4eb0a5223f11b73316b4c545f905879095af63898263d8e75e5da,867e3d8daf5966b211bcd7d1d7a33b3f9d69e4b4ec2f3bc0d05cd0468b18e3bf,NO
B1-TSB-09,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,56dab6d73165ea727a60f89f0d2fe337ba95df08e72fff04fb4d68303e6bc89b,d105ccfaca15c39a7e8bca379c4e701ff89efcfd76d5886917e7b30f09aa0e5c,780a643de6f71ae1cddc25bfe22c693d765c3ec4f9bef5ad8570abef77322541,17d1d701cb40043e7f98500280c206092d59261aba7a83fa4600745e15467749,3850466bae7727edda2579935bc026282fb84816a487e5f49082d92e50e66e64,87631bab55e682ab58612174e2586e4a55d23c7637371bc0b7302a23f3dbec91,NO
B1-TSB-10,YES,YES,YES,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,RECOVERED_OFFICIAL_NUPLAN_PARQUET,RECOVERED_OFFICIAL_NUPLAN_PARQUET,PASS,ac5d7fa5bff9b256c70caa5e0d78c659fa4945926dbe1d4baf6351f3940d206f,f4962b4d3916cb27157a0877974f39196cbb44101b5974348f6fdcb10f74ec5a,222a032ac6d6fc526481ec20d05b7c1b4c6fd8f9acde8ec2047805c4b4afe212,bcdc2f672af34a1be8deb6268999e13735ec0e4eb0d3143b35ab2b648823e46a,a506ac77a4dc9ef055c1eb1412e13b035aa9f2fb5eaf9e75130ccf7faab54e33,272907750bedf2df4519b44d9c4240d87bcd0cdef1132e0fdc8d5dc6bb3a7183,NO
