execution_order,pair_id,run_id,arm,attempt_1_state,offline_finalize_state,route_precheck_status,prospective_action,owner_authorization_required,planned_denominator_effect
1,B1-TSB-01,B1-TSB-01-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
2,B1-TSB-01,B1-TSB-01-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
3,B1-TSB-02,B1-TSB-02-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
4,B1-TSB-02,B1-TSB-02-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
5,B1-TSB-03,B1-TSB-03-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
6,B1-TSB-03,B1-TSB-03-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
7,B1-TSB-04,B1-TSB-04-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
8,B1-TSB-04,B1-TSB-04-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
9,B1-TSB-05,B1-TSB-05-BASELINE,BASELINE,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
10,B1-TSB-05,B1-TSB-05-TREATMENT,TREATMENT,TECHNICAL_COMPLETE,OFFLINE_FINALIZED_FROM_ORIGINAL_B1_ARTIFACTS,COMPATIBLE,PRESERVE_ORIGINAL_ATTEMPT;NO_RERUN;USE_OFFLINE_FINALIZED_OFFICIAL_METRICS,NO,ORIGINAL_PAIR_COUNTS_ONCE;DENOMINATOR_REMAINS_20
