pair_id,session_id,log_id,scenario_token,exposure_class,baseline_arm_status,treatment_arm_status,precontext_match,route_match,baseline_measurement_valid,treatment_measurement_valid,baseline_phase_count,treatment_phase_count,release_fraction,second_peak_ratio,F_match_status,safety_status,LOW_SPEED_ENDSTOP,joint_mechanism_status,joint_scientific_status,technical_failure_reason,scientific_failure_reason,artifact_hashes
B1-TSB-01,2021.09.09.19.47.56_veh-45,2021.09.09.19.47.56_veh-45_01177_01260,d08c4ec5e7fa58c8,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.719563,1.198602,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-01-BASELINE/execution_manifest.json"":""0ebf521bcfd5983a4591c32a57cc1d0a09781e0cd16917781c1ded57bd8d27c1"",""B1-TSB-01-BASELINE/trace/realized_current_ego.jsonl"":""1e705cf7b397d2487d25e0c9d946b522a1e609badfdc778d6cd3aa9909dc1ee7""},""treatment"":{""B1-TSB-01-TREATMENT/execution_manifest.json"":""abdc41184279070461b10e2598ea06b7869f64c858ee632b9b11b90a59d0c566"",""B1-TSB-01-TREATMENT/trace/realized_current_ego.jsonl"":""d4162dfa0c4148c51c0aa791d3991cf3f33889d30b40daaef379336e241ab4dd""}}"
B1-TSB-02,2021.08.19.14.06.23_veh-45,2021.08.19.14.06.23_veh-45_02208_02388,743e46e164a45f80,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.751318,1.210915,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-02-BASELINE/execution_manifest.json"":""ebc5d2f70fa3def8d7aed47adc06278e5f48d80318c7f20442a3e70db2986faf"",""B1-TSB-02-BASELINE/trace/realized_current_ego.jsonl"":""8671cd969939924c07ef5da6309d16851c5c69c5b1aa63c11a28a1354a44f366""},""treatment"":{""B1-TSB-02-TREATMENT/execution_manifest.json"":""2bf2e2491319201401496bd37f5a762ae2e8c5326f213d838245384222ea04f3"",""B1-TSB-02-TREATMENT/trace/realized_current_ego.jsonl"":""30e7d7c4359f757ee13a56d88eaf350f8dad509565a9153f42e647fe76a2bc14""}}"
B1-TSB-03,2021.08.20.17.54.47_veh-45,2021.08.20.17.54.47_veh-45_02107_02455,772c0c242adb566d,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,1.045961,1.012561,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-03-BASELINE/execution_manifest.json"":""aaa2ec5d2fc1f95924484c580708dc643527dc02fcbb23dd3b7cc902c475a7ad"",""B1-TSB-03-BASELINE/trace/realized_current_ego.jsonl"":""0a5ffdcef14080b22fa1f7dfd6192413f3527372caac9e4487e11bceed53353f""},""treatment"":{""B1-TSB-03-TREATMENT/execution_manifest.json"":""58f4f23a4fc50aed956456cd80bca16de3bc30e6e77eb3dfd07de50c15f18bee"",""B1-TSB-03-TREATMENT/trace/realized_current_ego.jsonl"":""426862e3897f5240021b062126383a78ab2002ab34698ae9cedbb6c6700f7092""}}"
B1-TSB-04,2021.10.01.17.28.18_veh-44,2021.10.01.17.28.18_veh-44_01567_01717,460828425cb45a3e,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.860324,1.21338,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-04-BASELINE/execution_manifest.json"":""72788c7dbba4946e4c381d39c3508ff333e7ee384ec108903f929982619f7517"",""B1-TSB-04-BASELINE/trace/realized_current_ego.jsonl"":""77335633c2a3351156a3b275d5e3b49ce412be3b9c91d411497086cdfa75de47""},""treatment"":{""B1-TSB-04-TREATMENT/execution_manifest.json"":""ae78578cf672f64ae530182493bec7d69f9ba6240ca457813fb1534487e2dc3e"",""B1-TSB-04-TREATMENT/trace/realized_current_ego.jsonl"":""01981a351e05fcd3b43d6955c8302e0afac9fcd94b24a5926a472171ce3dfad4""}}"
B1-TSB-05,2021.09.10.17.09.03_veh-42,2021.09.10.17.09.03_veh-42_00016_00105,1c3d5374be3c505c,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.748595,1.210529,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-05-BASELINE/execution_manifest.json"":""f0bc45ea5f7f854fd3da84b823986f5ab1e2885782ceb9b2aa9b796e425062c7"",""B1-TSB-05-BASELINE/trace/realized_current_ego.jsonl"":""2ba18dbd04cfd3dc41149916182a5699b2105f9d652c9c6123d5b60911caf46a""},""treatment"":{""B1-TSB-05-TREATMENT/execution_manifest.json"":""cadca01374c8ffc603b95132b70870898f862f098ce832b789c477822addf888"",""B1-TSB-05-TREATMENT/trace/realized_current_ego.jsonl"":""397b5998aecd283147c019f8eca09d2093dd7d3d7a0282886f36ef043098e658""}}"
B1-TSB-06,2021.09.28.16.50.03_veh-44,2021.09.28.16.50.03_veh-44_00782_01293,25aef4af0bfb51b7,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.860055,1.212546,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-06-BASELINE/execution_manifest.json"":""86011136b08248b7ff30360308ec14353776884b0c3279b1322624e1056d071e"",""B1-TSB-06-BASELINE/trace/realized_current_ego.jsonl"":""e6ee52f5c09cd96dedba5fdb780ce41f09174a7417eacacab2e45d878532e734""},""treatment"":{""B1-TSB-06-TREATMENT/execution_manifest.json"":""4e84f19d7692bd2e338c5c952ffb63a3685afdcf72ef287c6908d00877890817"",""B1-TSB-06-TREATMENT/trace/realized_current_ego.jsonl"":""1552af417ae7ea8743ed0fcde0cebfb08461eb43c3892cbc07bf72b7d20b6659""}}"
B1-TSB-07,2021.09.03.17.02.10_veh-42,2021.09.03.17.02.10_veh-42_01804_02024,0b7c6c51de7e564b,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.875632,1.209911,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-07-BASELINE/execution_manifest.json"":""640be41a362f99b21d6c13aa175dd0a5a6fd55f306a4c0dd905e3fdcd6752efd"",""B1-TSB-07-BASELINE/trace/realized_current_ego.jsonl"":""fde5cb3ba004ce3310d62fc7539bf4511e1ebfd479d53fbc8c711ca714f741ae""},""treatment"":{""B1-TSB-07-TREATMENT/execution_manifest.json"":""0dddbc38db5da74a1a965a43d397b0d62449a93cd91241553fec170f2a8bb61f"",""B1-TSB-07-TREATMENT/trace/realized_current_ego.jsonl"":""47370e29978e17930dbabde47b1b3cc31f4946d6e9f03afa4e2cdc7a4907b329""}}"
B1-TSB-08,2021.08.17.16.48.45_veh-43,2021.08.17.16.48.45_veh-43_02070_02652,d28cd3b626a258ef,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.750874,1.209334,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-08-BASELINE/execution_manifest.json"":""6a8fe943bc467f489e909337e01e9a50951c7fbc77b3920ff356df1b60490224"",""B1-TSB-08-BASELINE/trace/realized_current_ego.jsonl"":""b96f6be4966cbd9d442cbc9c0a36c51da4d6dc5a13db8b1d3eed2129445b2fc0""},""treatment"":{""B1-TSB-08-TREATMENT/execution_manifest.json"":""cbdb8f4ed1aae45c9044537311bc1e344b16f4babed9824c0755056a9551417a"",""B1-TSB-08-TREATMENT/trace/realized_current_ego.jsonl"":""678546de38341aac8a167e17b111763d2abb2baef1080905b78e555a3d2b4e9a""}}"
B1-TSB-09,2021.09.02.14.10.27_veh-08,2021.09.02.14.10.27_veh-08_02043_02167,cb546eedbf255421,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.74857,1.21024,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-09-BASELINE/execution_manifest.json"":""5e6325fce60f94a88603f445039a35a7a06777b874f3bdee08c0bda47d9382b3"",""B1-TSB-09-BASELINE/trace/realized_current_ego.jsonl"":""a5bce616c69970477d688db51274b568b72b75c690907f67c45f030440d90691""},""treatment"":{""B1-TSB-09-TREATMENT/execution_manifest.json"":""6b20915169e7db101eeac923246e3022129a3eb5f45f04eb1027164beffa2db7"",""B1-TSB-09-TREATMENT/trace/realized_current_ego.jsonl"":""b74227bb18bd64bde843f376d4eb8c50f34c5f64f9bb64a68eaedbf73df38695""}}"
B1-TSB-10,2021.09.03.16.25.50_veh-42,2021.09.03.16.25.50_veh-42_00016_00340,cf821fe00f81559e,E2_BENCHMARK_ENGINEERING,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,TECHNICAL_COMPLETE_PENDING_PAIR_ANALYSIS,true,true,true,true,1,2,0.860314,1.213158,F_MATCH_PASS,NOT_AVAILABLE,false,PASS,TECHNICAL_INCOMPLETE,MetricCanonicalizationError:collision:MISSING_EXPECTED_METRIC_FILE:no_ego_at_fault_collisions.parquet,,"{""baseline"":{""B1-TSB-10-BASELINE/execution_manifest.json"":""5f0df0ec076606b0cd2b1874b91f7afc42d79c47d729ff9641fb5b8074e03ae2"",""B1-TSB-10-BASELINE/trace/realized_current_ego.jsonl"":""4ffb9608c28146cc6855effe9a1d7d03cd449c8f5049d6b83ec48fa5abb302ca""},""treatment"":{""B1-TSB-10-TREATMENT/execution_manifest.json"":""991db7463a9c2844e135fb73415baee1b13b82c92de136c666cef0f54cb571aa"",""B1-TSB-10-TREATMENT/trace/realized_current_ego.jsonl"":""e3e12d472d10e8063d50ef486c0d2a61cec0734a350751888a120c2534ebc677""}}"
