pair_id,session_id,log_id,scenario_token,exposure_class,static_eligibility_status,initial_speed_mps,route_id,precontext_id,baseline_arm_id,treatment_arm_id,arm_order,selection_rank,selection_salt,selection_hash,execution_status
B1-TSB-01,2021.09.09.19.47.56_veh-45,2021.09.09.19.47.56_veh-45_01177_01260,d08c4ec5e7fa58c8,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,12.454836,4ad43352c909640f85cbbc1673171ba5f238b59ca58deb8274e5edc53e425065,d411079f68485772768985d644a27801a0276a3ad41436976e870d613e4d1a14,B1-TSB-01-BASELINE,B1-TSB-01-TREATMENT,BASELINE->TREATMENT,1,B1_FROZEN_TSB_QUALIFICATION_V1,0094821d48d3f3c7159ed50ae6a86c6e43ec0b19a2ffdf4e21cc0240007e976b,NOT_RUN
B1-TSB-02,2021.08.19.14.06.23_veh-45,2021.08.19.14.06.23_veh-45_02208_02388,743e46e164a45f80,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,8.499926,43aa583690f2a35f39b4cf5f74a74d19013a98d52314585e4e658efc1544a56c,228f58b9f0e01090346462712ba861882398bcc0947cb665495da151ed93cf88,B1-TSB-02-BASELINE,B1-TSB-02-TREATMENT,TREATMENT->BASELINE,2,B1_FROZEN_TSB_QUALIFICATION_V1,0bc5f2f6f292d5317ed664c1403cbcbd8e33eb0921516666cb114090328571d0,NOT_RUN
B1-TSB-03,2021.08.20.17.54.47_veh-45,2021.08.20.17.54.47_veh-45_02107_02455,772c0c242adb566d,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,4.694694,4010bfcef46c3304bcab0744521607b44fcd91f7b81f3e0d4164f732d8fd0562,e029f02726f11392e8ca9e07b851024dd8ece15cf42c3364429e373ecc78f01b,B1-TSB-03-BASELINE,B1-TSB-03-TREATMENT,TREATMENT->BASELINE,3,B1_FROZEN_TSB_QUALIFICATION_V1,0f6ef9f47ba5abaacbf1bc924f9625485f6e85e8764481ba183d338301474d1b,NOT_RUN
B1-TSB-04,2021.10.01.17.28.18_veh-44,2021.10.01.17.28.18_veh-44_01567_01717,460828425cb45a3e,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,12.429145,615936e391061ce7c87d5448a3633a8fd44fccf43a7c228b6d4eea6e21da8f3a,50233e216fca18be217ac21201d09e3f4b44ff52f8f601e2a5710d4d5135819a,B1-TSB-04-BASELINE,B1-TSB-04-TREATMENT,BASELINE->TREATMENT,4,B1_FROZEN_TSB_QUALIFICATION_V1,1185c30f5e0064c73871011d8f0243d7e31d65c222268edeb69394934ae13cdb,NOT_RUN
B1-TSB-05,2021.09.10.17.09.03_veh-42,2021.09.10.17.09.03_veh-42_00016_00105,1c3d5374be3c505c,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,11.901043,dccabbc8229b5e0fcadb421c2f50ca6800062c28168f7b7147a83019b1ee4b23,8a32bbf70c1f90e2fca14b3be0c756579c3b4c2af340915bc7c99b754cd8e0f8,B1-TSB-05-BASELINE,B1-TSB-05-TREATMENT,BASELINE->TREATMENT,5,B1_FROZEN_TSB_QUALIFICATION_V1,30095f8156cc6d2bdf15d985a27833e384688f0f8af59cf22957c78950a677ad,NOT_RUN
B1-TSB-06,2021.09.28.16.50.03_veh-44,2021.09.28.16.50.03_veh-44_00782_01293,25aef4af0bfb51b7,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,14.385815,556987306721a1be103c29691a6e8cf4805ed38410886a4b1314e23b14da44f9,aa1667fcd40df3e6120872e77aff8a124813ded1213b60c9e7b71eba3dcde6af,B1-TSB-06-BASELINE,B1-TSB-06-TREATMENT,BASELINE->TREATMENT,6,B1_FROZEN_TSB_QUALIFICATION_V1,3b0597530010e5565304f07f5f5d51df5a400ee16a4cd77107e9a85ed50eaa3f,NOT_RUN
B1-TSB-07,2021.09.03.17.02.10_veh-42,2021.09.03.17.02.10_veh-42_01804_02024,0b7c6c51de7e564b,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,11.674582,5d31b6edae57c5edbb7d58787fdf6a5746bdb0684c93b3b5dcc9b18e21bd27c9,907fb1b06023c94b2f41c242fc78b891569ff2bb537731ca46b2ae80ab1e7c65,B1-TSB-07-BASELINE,B1-TSB-07-TREATMENT,BASELINE->TREATMENT,7,B1_FROZEN_TSB_QUALIFICATION_V1,4ed5045234eb59136e6a7b32f9a04a61e0bdc0bcdaa4d2ed0f75a8b9638a5276,NOT_RUN
B1-TSB-08,2021.08.17.16.48.45_veh-43,2021.08.17.16.48.45_veh-43_02070_02652,d28cd3b626a258ef,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,12.560950,a9c89f1858c69ab21dbf941283873905a0780e5070b6f9c0723742873124425e,19ddbccfaba5015756c6814244c608c1c712fd2a65a5e07ff9e805fc6b3f7285,B1-TSB-08-BASELINE,B1-TSB-08-TREATMENT,BASELINE->TREATMENT,8,B1_FROZEN_TSB_QUALIFICATION_V1,5448b7d2b482a48225c0d1c3748d9eb73c87b8550494537f199765d8546eafff,NOT_RUN
B1-TSB-09,2021.09.02.14.10.27_veh-08,2021.09.02.14.10.27_veh-08_02043_02167,cb546eedbf255421,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,10.760236,dae6a986f2e14baa8fbcf1421bab4d08af90db2df860cece287b8d17c5a4f3e1,fdf7a88c0b5962e1dc48726a7ecf3ffd60db26d30939ceed0d3fb2a1d52534d3,B1-TSB-09-BASELINE,B1-TSB-09-TREATMENT,TREATMENT->BASELINE,9,B1_FROZEN_TSB_QUALIFICATION_V1,63e4f49e1b31f78abe7f7f65a69e80e64f123a46a0de917c442f164b03443cf1,NOT_RUN
B1-TSB-10,2021.09.03.16.25.50_veh-42,2021.09.03.16.25.50_veh-42_00016_00340,cf821fe00f81559e,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,13.793643,4663007d9e79ec447591ff71ce8df8fad1dcc35a3fecd10d2b453d224e923ff0,24cc6c53eec4aff535f4a631e6733c48edc99966d858e6973e76184937e773c5,B1-TSB-10-BASELINE,B1-TSB-10-TREATMENT,TREATMENT->BASELINE,10,B1_FROZEN_TSB_QUALIFICATION_V1,7005128f0da79302897d683d6437eb1e6429de634f655aaf88583d4f3bb6f78d,NOT_RUN
B1-TSB-11,2021.09.17.19.20.02_veh-45,2021.09.17.19.20.02_veh-45_00559_00692,8b6c1a92071a5110,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,13.122261,0f113beb6d6f53ef3cc58220da591dbbe24cfac4c879eb50917e86d5c36d384a,a766bedf725563c40feb5268839d2d3dd51270bc3e41001a8a49b6dd5b917c98,B1-TSB-11-BASELINE,B1-TSB-11-TREATMENT,TREATMENT->BASELINE,11,B1_FROZEN_TSB_QUALIFICATION_V1,73e6dbd7b45f3f67816f6375a91834c07c8d43fb44ee8a69a811ea34f3cc4c13,NOT_RUN
B1-TSB-12,2021.08.23.12.33.24_veh-42,2021.08.23.12.33.24_veh-42_02142_02317,58e28f36c65e5619,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,13.616467,615936e391061ce7c87d5448a3633a8fd44fccf43a7c228b6d4eea6e21da8f3a,e0ca5eacf8e2fd109b731cb540d405c58c6ea830d733901d71c39818d6ab708d,B1-TSB-12-BASELINE,B1-TSB-12-TREATMENT,TREATMENT->BASELINE,12,B1_FROZEN_TSB_QUALIFICATION_V1,8a930a92d2dc230da323bcd24aa3da27282d8e9c3fa1b7f323110f5ce75ffc4d,NOT_RUN
B1-TSB-13,2021.09.17.14.49.23_veh-42,2021.09.17.14.49.23_veh-42_00135_00310,9fe700abf47057f0,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,14.151694,c65e8c8269b52a632bf87230412e0ce19bd35ef1dcaef43d6993eaf4fd47778d,17c78f356097e5a8a7acc4dcb0c09a22df787df908417348c485f0f6586fd4b5,B1-TSB-13-BASELINE,B1-TSB-13-TREATMENT,BASELINE->TREATMENT,13,B1_FROZEN_TSB_QUALIFICATION_V1,9eda1b4ef188dc7926085722fec5ed7cd7f039c6b92bbd54fe40f5721c88adc8,NOT_RUN
B1-TSB-14,2021.09.03.14.16.10_veh-08,2021.09.03.14.16.10_veh-08_01944_02312,6047a409901056ce,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,10.557375,9813a7f59c4e59e78c7d48db8e4dc654559e4272daf58e151b906d0275988f58,f4e7b3ee4eacdf0765d02d5428dbc8cd74d631989ff0ed721740bf2a02b0a07e,B1-TSB-14-BASELINE,B1-TSB-14-TREATMENT,BASELINE->TREATMENT,14,B1_FROZEN_TSB_QUALIFICATION_V1,c2b2ea3a29c9840d77f0d622c803125e6b0cd71f7220af389fef5c2ea33c90bb,NOT_RUN
B1-TSB-15,2021.08.17.13.10.50_veh-08,2021.08.17.13.10.50_veh-08_00122_00295,1b62357f0af159f2,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,4.769163,b5296b652fb7d198730b2e8d72137d2b0891a90e3ef23aa90bb2b61ee73d19b6,11770cea39c233855da30f1a846cba5645ae3dcbc07f2fa051f327f656f53e18,B1-TSB-15-BASELINE,B1-TSB-15-TREATMENT,BASELINE->TREATMENT,15,B1_FROZEN_TSB_QUALIFICATION_V1,ce18b0e10f4f39120d92a0857be9889f054e3663e6b4aafa9a204003b6431a8a,NOT_RUN
B1-TSB-16,2021.08.25.20.03.37_veh-45,2021.08.25.20.03.37_veh-45_01824_02008,5b7bddc9f0b55823,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,8.214626,b81e288fd67d2e24c16b268a1e77d6a108e2c09feb1b46c62b17a47e10788185,c859ab1edcb7dd40dc0b2c8a41f080cb33385e667577f4eab1bdd77a0a7e466b,B1-TSB-16-BASELINE,B1-TSB-16-TREATMENT,TREATMENT->BASELINE,16,B1_FROZEN_TSB_QUALIFICATION_V1,f6474030b383122a9239e5121efdbe30558963188b43edad1d4ccc3fcfe6c7a4,NOT_RUN
B1-TSB-17,2021.09.20.17.42.50_veh-08,2021.09.20.17.42.50_veh-08_00322_00551,2aaa876730875879,E2_BENCHMARK_ENGINEERING,STATIC_ELIGIBLE,4.019258,6059bf483389fb318d45dc9d34793b03766a17ce4d1aa26132e01dd323807bf5,b80eeec4ac4532d1713940e6e83c98c101cc6b195920f6fb0520f6e8eb211955,B1-TSB-17-BASELINE,B1-TSB-17-TREATMENT,BASELINE->TREATMENT,17,B1_FROZEN_TSB_QUALIFICATION_V1,f8de132529d96b6c31ae735c0633ef0955da792b4e221067097473f3db11148e,NOT_RUN
B1-TSB-18,2021.08.30.13.08.03_veh-08,2021.08.30.13.08.03_veh-08_00207_00494,3c4050eab6365ec7,E1_UNRELATED_HISTORICAL_USE,STATIC_ELIGIBLE,12.415472,a8517d980da819435307112670f9e3d613379d82a05b56617fd0e8d5b9bf0f71,0d07a7ed6268b438f18f7434f51544a5abe643607a020846ae1e7fa94bffd28d,B1-TSB-18-BASELINE,B1-TSB-18-TREATMENT,TREATMENT->BASELINE,18,B1_FROZEN_TSB_QUALIFICATION_V1,26a90a53f754c2cb99321f84b75d4bfb11273a82ddf3fa780617a5b2882cc47d,NOT_RUN
B1-TSB-19,2021.08.17.18.54.02_veh-45,2021.08.17.18.54.02_veh-45_02202_02416,c531088f238856b5,E1_UNRELATED_HISTORICAL_USE,STATIC_ELIGIBLE,10.981376,c08a3479d63a19b46b18b34d919ccdbf09b5965e1204dcd3643b36c40c0cee6c,0c102d272d4a3614186584518ea402d535b0c05124fa2ad1fcb14ab9703d757d,B1-TSB-19-BASELINE,B1-TSB-19-TREATMENT,TREATMENT->BASELINE,19,B1_FROZEN_TSB_QUALIFICATION_V1,293b5631df1fa3476275ed9e8c3917b2da03287cda7d2601883fd8cb43f476bf,NOT_RUN
