candidate_rank,selection_hash,session_id,scenario_token,exposure_class,decision,reason
1,0094821d48d3f3c7159ed50ae6a86c6e43ec0b19a2ffdf4e21cc0240007e976b,2021.09.09.19.47.56_veh-45,d08c4ec5e7fa58c8,E2_BENCHMARK_ENGINEERING,SELECTED,
2,0a3dd73b683cd8691d5af5bb41751f8e6c78013550735d10a80939e575a9bfa9,2021.08.19.18.08.28_veh-45,f20620760d8b571f,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
3,0ba52f30890edc0ebed999bc2b142ea51774497b90357de12c34b9fb88069aed,2021.08.25.19.15.01_veh-45,44763c74933554da,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
4,0bc5f2f6f292d5317ed664c1403cbcbd8e33eb0921516666cb114090328571d0,2021.08.19.14.06.23_veh-45,743e46e164a45f80,E2_BENCHMARK_ENGINEERING,SELECTED,
5,0f6ef9f47ba5abaacbf1bc924f9625485f6e85e8764481ba183d338301474d1b,2021.08.20.17.54.47_veh-45,772c0c242adb566d,E2_BENCHMARK_ENGINEERING,SELECTED,
6,104093d06c243fccb9ba232453ac45966c8d26d4d82b0c771e8e611bea7104d7,2021.09.10.18.03.24_veh-42,d112eb66274955f7,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
7,1185c30f5e0064c73871011d8f0243d7e31d65c222268edeb69394934ae13cdb,2021.10.01.17.28.18_veh-44,460828425cb45a3e,E2_BENCHMARK_ENGINEERING,SELECTED,
8,121c0429a7ab58bb7daa6e6488f37fd3eda87a14e806be417f4e107f3915d5c8,2021.09.13.14.24.27_veh-45,7b1ae9290d285d28,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
9,15daf7660a5b09655d84c7be1fa5aef2ceb461b118d51153f4564b1b85a37989,2021.08.27.14.24.38_veh-42,5f903c95ad345df1,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
10,2d18757b96a1710141a8323257ea8ab8d221a40ca3e0e100c840ae6db7e1fa31,2021.08.30.19.47.46_veh-45,13ffc96b9b305a53,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
11,30095f8156cc6d2bdf15d985a27833e384688f0f8af59cf22957c78950a677ad,2021.09.10.17.09.03_veh-42,1c3d5374be3c505c,E2_BENCHMARK_ENGINEERING,SELECTED,
12,364dc10c9eb730984889d11870770bb89eed9e0e60749426d6463c343c10879e,2021.09.27.17.52.47_veh-44,da7a9065299e5cc2,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
13,3b0597530010e5565304f07f5f5d51df5a400ee16a4cd77107e9a85ed50eaa3f,2021.09.28.16.50.03_veh-44,25aef4af0bfb51b7,E2_BENCHMARK_ENGINEERING,SELECTED,
14,3b4d850383aa8f6347f4f2fc963fa51a0fa36401f9c5cc643266b16cb28a5937,2021.08.23.13.17.08_veh-42,2a0e75cd59cb54bf,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
15,3e82a5cb9f8015ca6611e92153dec08f90d45e5d0a8498ac3759f7910a4b9a21,2021.09.17.16.35.20_veh-45,c8b38a24c1b1531b,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
16,45fceb596d257b841e29bd8483a297d5e887ad3e000494bfc48f5e8479dd20a8,2021.09.21.20.37.06_veh-45,db786c1dc47b54bc,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
17,4ed5045234eb59136e6a7b32f9a04a61e0bdc0bcdaa4d2ed0f75a8b9638a5276,2021.09.03.17.02.10_veh-42,0b7c6c51de7e564b,E2_BENCHMARK_ENGINEERING,SELECTED,
18,5448b7d2b482a48225c0d1c3748d9eb73c87b8550494537f199765d8546eafff,2021.08.17.16.48.45_veh-43,d28cd3b626a258ef,E2_BENCHMARK_ENGINEERING,SELECTED,
19,5cefcc6d00c363f4d2490dfcd861fdd89b647dec70323f83a70a3cecd7a86d09,2021.08.30.14.36.46_veh-08,f6a6259c3d84555f,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
20,5efee87c4f98cb219d9880f7eb7293a8055caee650926d9aa21db55b9ecc33a9,2021.08.19.17.06.41_veh-08,0445da10c7ff5702,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
21,5fee8ea7b094df02ddefcb2d347a01b5ebaa02a0b4379f4a002c2573fc088c5b,2021.09.28.13.24.06_veh-44,1d5769ba8a5357a8,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
22,63e4f49e1b31f78abe7f7f65a69e80e64f123a46a0de917c442f164b03443cf1,2021.09.02.14.10.27_veh-08,cb546eedbf255421,E2_BENCHMARK_ENGINEERING,SELECTED,
23,6908bdd4230094402565536e6049c188661839b87dc4fe9ed4f56055e8e4a91a,2021.09.20.12.58.53_veh-42,9b2ef80dc6aa521f,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
24,6b1bb257930bc7759b77938ed50cefcec5675e193f3bb77b7e2c770b85b77af1,2021.08.23.16.53.37_veh-08,c12178e439105fed,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
25,6bd247820f999859ddb88c67e0994b8761b587203f3e401c6afef1da76514ed6,2021.09.09.13.32.12_veh-43,6228d5e3f50057d7,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
26,7005128f0da79302897d683d6437eb1e6429de634f655aaf88583d4f3bb6f78d,2021.09.03.16.25.50_veh-42,cf821fe00f81559e,E2_BENCHMARK_ENGINEERING,SELECTED,
27,73e6dbd7b45f3f67816f6375a91834c07c8d43fb44ee8a69a811ea34f3cc4c13,2021.09.17.19.20.02_veh-45,8b6c1a92071a5110,E2_BENCHMARK_ENGINEERING,SELECTED,
28,75c15e660dddcf9d1c23048df1c0ebc5717bc2321a73e6728ba03d86807ee1e2,2021.08.20.12.28.52_veh-42,de64a85e163259c5,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
29,78307c50eb653c5eb35b3d563b050bf0658aaf280cda02fb95b58b9cd7d49a3e,2021.09.28.19.55.30_veh-44,bc82021d6c735f38,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
30,7bc65b1032d8645d76b54ef5b59e0ee28b13dcc94249fc206083d759b8a6bd22,2021.08.20.19.10.41_veh-45,418afdfe53925e78,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
31,82e508462afa595d19b75dcc454b3ee201b942324d89ae06c915696d39aa8e70,2021.09.09.17.29.55_veh-42,607433a017e75c86,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
32,858121af29f518c4833e43eacf58e4acbda59486e8e09b21c88763864aec6972,2021.09.30.17.20.14_veh-44,823450e3b3495cf2,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
33,8758e4a5388b4dd8117b55fa843f311d84cf938afe18c5dee1cfaecc103daac5,2021.08.25.17.17.57_veh-42,2e0fcd5d856d5d14,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
34,8a930a92d2dc230da323bcd24aa3da27282d8e9c3fa1b7f323110f5ce75ffc4d,2021.08.23.12.33.24_veh-42,58e28f36c65e5619,E2_BENCHMARK_ENGINEERING,SELECTED,
35,8b6894b146a1feb8e1e7b318e6cf8aa44b2818146aa52536b22cb3cc86761867,2021.09.13.19.54.06_veh-45,b3b4ce26fc47564c,E2_BENCHMARK_ENGINEERING,STATIC_B1_CONTEXT_INCOMPATIBLE,ValueError:OFFICIAL_MAP_LANE_AMBIGUITY_FAIL_CLOSED
