residual_family,feature_id,role,source_kind,unit,pre_or_post_treatment,primary_gate,rationale,implementation_status
R-HLC,ego13.mean_speed,F_match,existing_target_v0.1,m/s,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-HLC,ego13.std_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.p95_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.end_minus_start_speed,F_match,existing_target_v0.1,m/s,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-HLC,ego13.rms_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.mean_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.p95_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.rms_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.p95_abs_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.rms_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.mean_abs_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,ego13.heading_change_abs_total,F_match,existing_target_v0.1,rad,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-HLC,ego13.path_length,F_match,existing_target_v0.1,m,whole-window_descriptor_not_context,true,core fixed-summary descriptor controlled for this residual family,EXISTING_DEFINITION
R-HLC,raw33.rms_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.rms_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.max_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.max_abs_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.mean_thw,Semantic_probe_only,existing_target_v0.1,s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.min_thw,Semantic_probe_only,existing_target_v0.1,s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.mean_front_distance,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.min_front_distance,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.mean_rel_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.p95_rel_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.rms_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.rms_curvature,Semantic_probe_only,existing_target_v0.1,1/m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.heading_change_total,Semantic_probe_only,existing_target_v0.1,rad,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.lane_change_count_proxy,M_behavior,existing_target_v0.1,count,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-HLC,raw33.lane_change_rate_proxy,Semantic_probe_only,existing_target_v0.1,1/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.lane_change_left_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.lane_change_right_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.lane_change_duration_mean_proxy,M_behavior,existing_target_v0.1,s/frame proxy,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-HLC,raw33.max_lateral_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-HLC,raw33.rms_lateral_accel,Semantic_probe_only,existing_target_v0.1,m/s per frame,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
