target_id,unit,physical_meaning,development_source,validity_filter,total_train_rows,analysis_valid_rows,structural_missing_or_no_slot_rows,nonfinite_rows,sentinel_or_extreme_ge_999_rows,tukey_outlier_rows,p05,p25,median,p75,p95,iqr,transformed_distribution,within_context_repeated_groups,within_context_pooled_sd,recomputation_reproducibility,physical_margin_status,option_id,option_numerical_margin,option_unit,option_evidence_basis,option_interpretation,option_risk,owner_approval_status
ego13.mean_speed,m/s,mean ego speed,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,1656,1.36293909,3.23260202,6.29287753,10.3146414,17.6771605,7.08203939,NOT_PREDEFINED; no post-hoc transform frozen,18672,3.26545111,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.708203939,m/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.std_speed,m/s,population SD of ego speed,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,1168,0.401743407,1.06456888,1.83861961,2.72443615,4.03611427,1.65986727,NOT_PREDEFINED; no post-hoc transform frozen,18672,0.973851299,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.165986727,m/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.p95_speed,m/s,95th percentile ego speed,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,822,3.39145987,6.48779567,9.80966091,13.7292486,19.4708627,7.24145297,NOT_PREDEFINED; no post-hoc transform frozen,18672,3.47921442,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.724145297,m/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.end_minus_start_speed,m/s,terminal minus initial ego speed,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,228,-10.6193849,-3.66929102,1.41445482,6.11826578,10.8169387,9.78755681,NOT_PREDEFINED; no post-hoc transform frozen,18672,5.54211127,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.978755681,m/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.rms_accel,m/s^2,RMS speed-derived acceleration,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,11845,1.18998729,2.03411375,2.73294707,3.86158031,9.12212691,1.82746656,NOT_PREDEFINED; no post-hoc transform frozen,18672,5.315455,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.182746656,m/s^2,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.mean_abs_accel,m/s^2,mean absolute speed-derived acceleration,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,9279,0.935954745,1.54232649,2.03488588,2.72009309,5.14233928,1.1777666,NOT_PREDEFINED; no post-hoc transform frozen,18672,2.56297962,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.11777666,m/s^2,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.p95_abs_accel,m/s^2,95th percentile absolute acceleration,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,10874,1.96437481,3.93100783,5.31502897,7.53197116,16.6415349,3.60096333,NOT_PREDEFINED; no post-hoc transform frozen,18672,11.2361221,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.360096333,m/s^2,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.rms_jerk,m/s^3,RMS acceleration-derived jerk,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,10886,7.40755038,29.4582155,43.0504249,63.9794857,152.014327,34.5212701,NOT_PREDEFINED; no post-hoc transform frozen,18672,90.9609271,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,3.45212701,m/s^3,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.p95_abs_jerk,m/s^3,95th percentile absolute jerk,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,10073,14.719125,57.7553439,85.1290944,126.850211,287.400969,69.0948668,NOT_PREDEFINED; no post-hoc transform frozen,18672,195.793446,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,6.90948668,m/s^3,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.rms_yaw_rate,rad/s,RMS wrapped-heading yaw rate,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,10750,0.0102418927,0.019750321,0.0331469235,0.114427688,0.28034205,0.0946773674,NOT_PREDEFINED; no post-hoc transform frozen,18672,0.691121709,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.00946773674,rad/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.mean_abs_yaw_rate,rad/s,mean absolute wrapped-heading yaw rate,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,18002,0.00789362192,0.0146957114,0.0241667479,0.0762157291,0.207162738,0.0615200177,NOT_PREDEFINED; no post-hoc transform frozen,18672,0.247623107,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.00615200177,rad/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.heading_change_abs_total,rad,total absolute wrapped heading change,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,18002,0.0631489754,0.117565691,0.193333983,0.609725833,1.6573019,0.492160141,NOT_PREDEFINED; no post-hoc transform frozen,18672,1.98098486,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.0492160141,rad,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
ego13.path_length,m,xy path length,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite 80-frame ego trajectory,135046,135046,0,0,0,2119,10.3731987,24.9552509,48.5148452,78.7975967,137.161037,53.8423459,NOT_PREDEFINED; no post-hoc transform frozen,18672,24.7183293,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,5.38423459,m,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.mean_thw,s,mean valid-front time headway,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,476,15902,1.4004711,2.43941963,3.89712644,9.29576159,288.888196,6.85634196,NOT_PREDEFINED; no post-hoc transform frozen,14318,118.498205,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.685634196,s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.min_thw,s,minimum valid-front time headway,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,476,8304,1.00819981,1.75717729,2.5012548,3.71833825,10.9363485,1.96116096,NOT_PREDEFINED; no post-hoc transform frozen,14318,67.1857364,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.196116096,s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.mean_front_distance,m,mean valid-front distance,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,0,3375,9.66402731,14.8919396,21.0149117,29.5011654,48.2552395,14.6092257,NOT_PREDEFINED; no post-hoc transform frozen,14318,11.4611383,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,1.46092257,m,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.min_front_distance,m,minimum valid-front distance,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,0,4936,7.36767836,10.5633402,15.1729631,22.9059076,42.7486713,12.3425674,NOT_PREDEFINED; no post-hoc transform frozen,14318,10.801498,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,1.23425674,m,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.mean_rel_speed,m/s,mean valid-front closing-rate proxy,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,0,818,-0.788531297,2.7448473,6.51710606,11.498713,18.8592434,8.75386572,NOT_PREDEFINED; no post-hoc transform frozen,14318,4.54653156,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.875386572,m/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.p95_rel_speed,m/s,p95 valid-front closing-rate proxy,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,0,1002,0.750756222,5.64298105,9.70865059,14.7284298,21.8796652,9.08544874,NOT_PREDEFINED; no post-hoc transform frozen,14318,5.17352715,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,0.908544874,m/s,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.front_pressure_score,m proxy,mean clipped front-pressure proxy,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,88787,46259,0,0,0,0,2.9868716,9.56919003,15.2257638,20.3464266,12.2388922,NOT_PREDEFINED; no post-hoc transform frozen,14318,6.18841699,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,1.22388922,m proxy,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.left_front_min_gap,m,minimum left-front gap,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,57464,77582,0,0,3404,3.2109211,3.82342649,7.34182382,16.0887771,36.9246643,12.2653506,NOT_PREDEFINED; no post-hoc transform frozen,10718,10.9125516,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,1.22653506,m,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
raw33.left_rear_min_gap,m,minimum left-rear gap,Waymo dynamic-v2 TRAIN split only; pre-existing development descriptor tensors,finite and required neighbor slot present in >=1 frame,135046,56761,78285,0,0,3886,3.21041751,3.8215661,7.0847311,16.0947456,38.8776398,12.2731795,NOT_PREDEFINED; no post-hoc transform frozen,10418,11.4754267,deterministic source-tensor recomputation is float32-consistent (audited separately); no repeated sensor measurement available,NO_DEFENSIBLE_PHYSICAL_MARGIN_YET,OPTION_C,1.22731795,m,0.10 x robust development IQR; descriptor-balance sensitivity caliper only,distribution-relative balance caliper; NOT physical/material equivalence,dataset-dependent and not a scientific equivalence threshold; requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
