dataset_release,db_version,source_database_reproducible_identity,source_alias_paths,log_id,log_name,db_file,vehicle_name,source_split,map_location,map_version,log_date,log_timestamp_us,lidar_timestamp_min_us,lidar_timestamp_max_us,runnable_timestamp_min_us,runnable_timestamp_max_us,scene_count,lidar_pc_count,runnable_scenario_token_count,runnable_scenario_token_min,runnable_scenario_token_max,runnable_scenario_token_set_sha256,runnable_scenario_type_family_counts_json,runnable_tagged_distinct_token_count,runnability_rule,materialization_level,historical_token_matches_in_log,historical_log_excluded
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:2234;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.17.18.11.12_veh-08_01622_01709.db;size:9150464;mtime_ns:1663912188000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.17.18.11.12_veh-08_01622_01709.db,1dadf9ffee195bc9,2021.08.17.18.11.12_veh-08_01622_01709,2021.08.17.18.11.12_veh-08_01622_01709.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-17,1629223982350069,1629225604650053,1629225691600338,1629225642349542,1629225662299821,5,1740,400,000e9f81c0275c27,ffe53ea6ab715634,befcd9ca562c139c97d23013c4c668de1f2ffabc37a2b076296184e842e763ba,"{""stationary"":{""distinct_tokens"":343,""tag_rows"":343}}",343,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:3028;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.17.18.43.12_veh-43_02784_02851.db;size:12402688;mtime_ns:1663911019000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.17.18.43.12_veh-43_02784_02851.db,2d57eb0e89a65c05,2021.08.17.18.43.12_veh-43_02784_02851,2021.08.17.18.43.12_veh-43_02784_02851.db,veh-43,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-17,1629225899349482,1629228684049777,1629228750999685,,,4,1340,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:973;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.17.19.18.39_veh-08_00118_00178.db;size:3985408;mtime_ns:1663912189000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.17.19.18.39_veh-08_00118_00178.db,cbb6d615713a50c1,2021.08.17.19.18.39_veh-08_00118_00178,2021.08.17.19.18.39_veh-08_00118_00178.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-17,1629227985450059,1629228103850178,1629228163800215,,,4,1200,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1966;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.19.15.03.05_veh-45_01660_01736.db;size:8052736;mtime_ns:1663912190000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.19.15.03.05_veh-45_01660_01736.db,0e42c1c5dbb75a4c,2021.08.19.15.03.05_veh-45_01660_01736,2021.08.19.15.03.05_veh-45_01660_01736.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-19,1629385605899609,1629387266549854,1629387342499687,,,4,1520,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:984;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.19.18.08.28_veh-45_00342_00404.db;size:4030464;mtime_ns:1663912191000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.19.18.08.28_veh-45_00342_00404.db,a474f178f1485061,2021.08.19.18.08.28_veh-45_00342_00404,2021.08.19.18.08.28_veh-45_00342_00404.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-19,1629396577349480,1629396919999904,1629396981950267,,,4,1240,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1581;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.19.19.22.25_veh-08_00016_00108.db;size:6475776;mtime_ns:1663912191000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.19.19.22.25_veh-08_00016_00108.db,10aa05385bb65906,2021.08.19.19.22.25_veh-08_00016_00108,2021.08.19.19.22.25_veh-08_00016_00108.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-19,1629401017899712,1629401034149741,1629401126100022,1629401057900334,1629401097900013,6,1840,801,00cc0d7463a45321,fe9419fdba985a78,0d57f753580f5ce5ccb93891ea6fccf9d34f4ca1bbf19df843ed32a981de5d20,"{""stationary"":{""distinct_tokens"":787,""tag_rows"":787}}",787,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:2613;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.12.28.52_veh-42_01164_01236.db;size:10702848;mtime_ns:1663912191000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.12.28.52_veh-42_01164_01236.db,e36554b95c8e53f4,2021.08.20.12.28.52_veh-42_01164_01236,2021.08.20.12.28.52_veh-42_01164_01236.db,veh-42,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629462736350038,1629463901399717,1629463973350025,,,4,1440,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1282;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.02.56_veh-42_01642_01706.db;size:5251072;mtime_ns:1663912192000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.02.56_veh-42_01642_01706.db,e24338355ba15215,2021.08.20.13.02.56_veh-42_01642_01706,2021.08.20.13.02.56_veh-42_01642_01706.db,veh-42,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629464743099749,1629466385949613,1629466449899704,,,4,1280,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1617;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.34.11_veh-45_01652_01717.db;size:6623232;mtime_ns:1663912192000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.34.11_veh-45_01652_01717.db,1b56eb719f1d57eb,2021.08.20.13.34.11_veh-45_01652_01717,2021.08.20.13.34.11_veh-45_01652_01717.db,veh-45,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629466584500341,1629468237049683,1629468302000104,,,4,1300,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
nuplan-v1.1_LOCAL_PATH_CONVENTION,sqlite:3.53.1;schema_sha256:6cc76ba986501f0b50b3f30be4fe99285f7fd664299483d0b028e4d7ec3a07a4;page_count:1985;page_size:4096,path:/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.55.47_veh-08_01236_01299.db;size:8130560;mtime_ns:1663911020000000000,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/train_pittsburgh/2021.08.20.13.55.47_veh-08_01236_01299.db,b34fac39b8a15f3c,2021.08.20.13.55.47_veh-08_01236_01299,2021.08.20.13.55.47_veh-08_01236_01299.db,veh-08,train_pittsburgh,us-pa-pittsburgh-hazelwood,us-pa-pittsburgh-hazelwood,2021-08-20,1629467955950432,1629469192449753,1629469255400242,,,4,1260,0,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,{},0,official-compatible scene rank: ROW_NUMBER(scene ORDER BY name)>=3 and <scene_count-1,ONE_ROW_PER_LOG; complete sorted runnable-token set bound by count/min/max/SHA256,0,false
