historical_stage,use_type,development,model_selection,evaluation,outcome_already_unblinded,source_manifest,manifest_sha256,nuplan_token_count,nuplan_token_set_sha256,nuplan_log_count,nuplan_log_set_sha256,identity_materialization
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/batch_scenario_status.csv,c12a8fd46ede7f6cf1f3d70745ea1ba61dec7649203043a42c8e1ca378b89894,490,3145e570e76f1e40cc836ec531dc42191d714281042c18fcb2564ccff4472417,358,b60ca495b25c2ae832da3d5cac2bb53e417a2c06ac164308131414b0ca0bcb91,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0001_af364ceb37345a00/attempt_001/context/merged_metadata.csv,79be972a4c51287239154b6076605cfb57cb082234b364adafc2d4543b61b194,1,1c7206adb1fc192378a1223f32390835ec4dc16bac7ea590ded41bb409d290f6,1,1c235cd457624ee8306bd86e832908324a1491b3bd1c907041fbc9e8a16ada9a,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0001_af364ceb37345a00/attempt_001/stage7c_output/scenario_planner_index.csv,b6927f34238472e4dc5e97955de6f3f8afe26055983e9fb4f0915dcd51a8763d,1,1c7206adb1fc192378a1223f32390835ec4dc16bac7ea590ded41bb409d290f6,1,1c235cd457624ee8306bd86e832908324a1491b3bd1c907041fbc9e8a16ada9a,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0002_fb7c818b79f259b2/attempt_001/context/merged_metadata.csv,76d7aa178637b0f1066dd2b7b6759ccb73cb72c2ebf4778ca263af8917aea750,1,d7f5716e1217480a2db06108cfe5b1f58badb811fdf845f2546b64fc785b538c,1,4b0d732ccd03fad9395db74ae092f6833932558dcd88cf1269b85ef104487eb0,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0002_fb7c818b79f259b2/attempt_001/stage7c_output/scenario_planner_index.csv,6b4efc7223950813b6afa1c77d2e6d1dc7ff2656babef44be89c103e9b1c577a,1,d7f5716e1217480a2db06108cfe5b1f58badb811fdf845f2546b64fc785b538c,1,4b0d732ccd03fad9395db74ae092f6833932558dcd88cf1269b85ef104487eb0,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0003_6bd8b9876da6572a/attempt_001/context/merged_metadata.csv,ddd61642a0ad0affeefcad8cbb84ab01e37804791ed3fa656cca16677ae57443,1,8024432a54e05702ded2b59ddf6558135fd0d9e820c3aa22762beee8259f03e6,1,3e4b2d3b596a15ae87b2a8fb3c8a3d08755f8ed4e155d460035bbbfaee728534,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0003_6bd8b9876da6572a/attempt_001/stage7c_output/scenario_planner_index.csv,b23fa28bcc1ec2697f27f4159e01110bc525c996e13b137568a756f335b626e3,1,8024432a54e05702ded2b59ddf6558135fd0d9e820c3aa22762beee8259f03e6,1,3e4b2d3b596a15ae87b2a8fb3c8a3d08755f8ed4e155d460035bbbfaee728534,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0004_31d2144f48b159a4/attempt_001/context/merged_metadata.csv,fb9ad8f456d7d1db16373563aa4b38a1fb92c7011621bdb74fa648ae3f0aa756,1,f94b96efd751f251752fbb9591fcd630218382999693868bd0465264f6144b23,1,88c4c1f15995d6beb8fd818f8d4660037dfdd053c8278a9a7ca86b8327cdce39,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0004_31d2144f48b159a4/attempt_001/stage7c_output/scenario_planner_index.csv,70c405638e897dd5fd956d757d0a0b91c3c7523fcc3ad0ce34d865556aae7484,1,f94b96efd751f251752fbb9591fcd630218382999693868bd0465264f6144b23,1,88c4c1f15995d6beb8fd818f8d4660037dfdd053c8278a9a7ca86b8327cdce39,COMPACT_SOURCE_LEVEL; exact union used in subtraction
stage6g,DEVELOPMENT_OR_EVALUATION_IDENTITY,true,false,true,true,outputs/stage6g_expanded_release_pool_run_v1/rollouts/order_0005_e56c992aeee55fee/attempt_001/context/merged_metadata.csv,c5345e841f5d93690297fad2e738ff2c9d8cd91a74174cedc43f0065d6d15c2e,1,3c0bd5a662b7d69583dd02d198cacbabc376dc6efee1030a167744269e2c0f2e,1,34b381501a4942289386aa83cd735c48e8e95995ea3090d72f0a101c8c8bd0cf,COMPACT_SOURCE_LEVEL; exact union used in subtraction
