dose,dose_role,view,view_status,representation,candidate,seed,probe_contract,probe_selection_parameter,evidence_level,target_id,semantic_family,target_kind,n_rows,n_log_clusters,uncertainty_contract,primary_metric,primary_point_estimate,ci95_lower,ci95_upper,mae,nrmse_sd,spearman,calibration_slope,auroc,macro_f1,class_support
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-9.857677777051096,-14.413582832569421,-6.923994123276403,2.4075292141642217,3.2950990542093113,0.45993905297702764,0.17606943327735217,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-6.476782516094379,-11.644225859959466,-3.8101729306584566,4.735348710764965,2.7343705886536998,0.6898030942334741,0.22188996298593536,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,100.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-19.972849700157862,-36.84591190448378,-12.107442618280631,0.5119132216470399,4.579612396279609,-0.34081106422878577,-0.0634525364196435,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,10.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-55.684086475151275,-131.10778634984624,-20.547001160656276,0.02979788922733177,7.528883481310577,-0.08879512423816222,-0.010687322939269162,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,100.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-27.264480724291253,-52.29407202688337,-15.658684695738977,0.24709269041644114,5.316434963797757,-0.010337552742616034,0.018240422801229835,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,10.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9473684210526316,0.8985184633710542,0.9788805751173708,nan,nan,nan,nan,0.9901315789473684,0.7222222222222222,class_0=4; class_1=76
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.5941491728185575,0.46869969260707045,0.692211764412925,12.631998558383865,0.6370642253191138,0.8664434025027953,1.5243169634293987,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.5126625345498048,0.4250888141211824,0.5891530323759452,5.965597344880383,0.6980955990766559,0.8838341041587391,1.9980105108235318,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,old64,old64,NOT_APPLICABLE,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,1.0,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.3871745673001703,0.02939836820528568,0.6123541198840392,3.1373796363521462,0.7828316758408731,0.7035623687166395,0.8215637908719958,nan,nan,NOT_APPLICABLE
dose0,PRIMARY,FULL,HISTORICAL,A_seed3407,A,3407,same frozen Waymo probe as D1 transfer; no Stage7L refit or selection,0.01,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-18.749261829201366,-30.492901951679478,-10.8732141272105,2.722322853776457,4.444014157178324,0.34556962025316457,0.1141518808010566,nan,nan,NOT_APPLICABLE
