study,representation,candidate,seed,view,semantic_family,frozen_probe_loss_gate_target_count,refit_probe_loss_gate_target_count,frozen_probe_material_change_target_count,refit_probe_material_change_target_count,family_interpretation,n_core_targets,evidence_level
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,mean,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,mean,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,mean,interaction,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,max,longitudinal,3,1,3,1,MIXED_OR_UNRESOLVED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,max,lateral,2,0,2,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,max,interaction,3,2,3,2,INFORMATION_RETENTION_LOSS_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,A,3408,mean,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,A,3408,mean,lateral,0,0,0,0,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,A,3408,mean,interaction,0,0,0,1,NO_MATERIAL_RETENTION_LOSS_SUPPORTED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,A,3408,max,longitudinal,3,0,3,0,COORDINATE_GEOMETRY_SHIFT_FAVORED,3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
