study,representation,candidate,seed,analysis_mode,reference_view,view,semantic_family,target_id,target_kind,primary_metric,heldout_point_estimate,paired_standardized_semantic_loss_difference,ci95_lower,ci95_upper,semantic_change_gate,semantic_loss_gate,semantic_gain_gate,n_rows,n_scenarios,n_log_clusters,split_contract,target_source,diagnostic_not_historical,evidence_level,interpretation_matrix_result
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,longitudinal,ego13.end_minus_start_speed,continuous,R2,0.7640330915079536,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,lateral,ego13.heading_change_abs_total,continuous,R2,-0.04523011802597399,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,longitudinal,ego13.mean_speed,continuous,R2,0.7740548829726689,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,longitudinal,ego13.rms_accel,continuous,R2,0.5567276109517441,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,lateral,ego13.rms_yaw_rate,continuous,R2,0.018957738862982354,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,interaction,raw33.front_pressure_score,continuous,R2,0.8147371707144422,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,lateral,raw33.lane_change_count_proxy,categorical,balanced_accuracy,0.6388888888888888,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,interaction,raw33.mean_front_distance,continuous,R2,0.9404346210099432,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,last,interaction,raw33.mean_rel_speed,continuous,R2,0.9153715462598445,0.0,0.0,0.0,False,False,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,False,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NO_MATERIAL_RETENTION_LOSS_SUPPORTED
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,A,3407,FROZEN_PROBE_ACROSS_VIEW,last,max,longitudinal,ego13.end_minus_start_speed,continuous,R2,-24.78742002467166,1.4615609840494241,1.2777927663661601,1.7091755838954872,True,True,False,400,80,79,"five-fold GroupKFold grouped by scenario_token; identical rows/folds/targets/ridge-logistic grid across views; paired loss CI uses 5,000 log-cluster bootstrap replicates",ego13 from frozen Stage7L ego_seq plus mask; raw33 from frozen Stage7L interaction_feat_style raw-equivalent report array,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,INFORMATION_RETENTION_LOSS_FAVORED
