representation,rank,semantic_retention_score,score_standard_error,selected_by_smallest_within_1SE,selection_data,null_calibration_condition,evidence_level
old64,1,0.34459159862377914,0.006144303208148963,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,2,0.4284542403203314,0.005997852984835489,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,4,0.5605124924840631,0.00575620939096099,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,8,0.618593702914009,0.005885538825496537,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,16,0.618593702914009,0.005885538825496537,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,1,0.1099645830690483,0.008042084397676962,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,2,0.5911380848917449,0.008833391978535492,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,4,0.7684316736618757,0.007123026521451953,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,8,0.9190987636945994,0.004275664960809851,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,16,0.9190987636945994,0.004275664960809851,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,1,0.1152505020376551,0.0034487114464606975,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,2,0.33823550367696165,0.03271759256513391,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,4,0.7666420703773141,0.004141858049203391,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,8,0.9173305372645414,0.0032092420985455634,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,16,0.9173305372645414,0.0032092420985455634,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,1,0.137141275663982,0.011555184388784162,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,2,0.6040748063385731,0.006426112944489886,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,4,0.7745341864213474,0.002695932747595803,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,8,0.9125112191216399,0.004014891694762121,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,16,0.9125112191216399,0.004014891694762121,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,1,0.13069427770413533,0.005422691293548304,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,2,0.5287727297127982,0.014060771855605019,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,4,0.7482823721139413,0.004422548714676148,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,8,0.9086743308556976,0.005698609614412355,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,16,0.9086743308556976,0.005698609614412355,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,1,0.15014088888198984,0.0041889354294438646,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,2,0.559169767695266,0.029209620226357407,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,4,0.7992343850669908,0.005065600793096612,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,8,0.9152929785496386,0.005688856180477491,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,16,0.9152929785496386,0.005688856180477491,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,1,0.09351442862548982,0.002687267672936849,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,2,0.1590507280120177,0.01653103665531356,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,4,0.7604188341403736,0.0035569183316829654,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,8,0.9145983754795569,0.005779427371709452,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,16,0.9145983754795569,0.005779427371709452,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,1,0.47345041765308915,0.020657430064744457,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,2,0.5795809624428812,0.017819153799410393,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,4,0.7873190769701737,0.00499010128172161,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,8,0.9219478085409971,0.006273339465748805,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,16,0.9219478085409971,0.006273339465748805,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,1,0.4368703031952218,0.027254274364816606,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,2,0.6414808804716032,0.006241777817041618,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,4,0.7700445049375177,0.02023155864285204,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,8,0.9225300120579212,0.0066251301584407596,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,16,0.9225300120579212,0.0066251301584407596,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,1,0.11394743890352618,0.014052738694519189,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,2,0.4275326538407196,0.08911188464911815,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,4,0.8048152236244789,0.005386374913698496,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,8,0.9111401216443596,0.005638912108420966,True,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,16,0.9111401216443596,0.005638912108420966,False,R0_DEVELOPMENT Waymo validation grouped folds; no Stage7L/planner outcome used,D3 calibration recorded separately; rank is a development-diagnostic selection only,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
