study,representation,view,classification,paired_standardized_embedding_difference,ci95_lower,ci95_upper,n_rows,evidence_level,primary_hypothesis_eligible
D0-A_CONTENT_WINDOW_DESCRIPTIVE,old64,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,2.7695771531523525,2.410176261926956,3.311195517618702,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,old64,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,4.706381329685996,4.010594253776143,5.851055354286196,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,old64,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,5.280158703257297,4.550824678161446,6.468037349911949,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3407,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,2.143562279259113,1.8601003375114644,2.542240221193449,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3407,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,5.599448960152458,4.774981653752696,6.932207745296732,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3407,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,4.211162921425038,3.7409218030362226,4.904290294731779,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3408,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,2.20708491494942,1.917238370028132,2.6450735258973816,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3408,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,5.052602730652816,4.277241937446404,6.333899722627687,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3408,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,4.793936336501153,4.246770027849032,5.650502954254599,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3409,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,2.1184792936997994,1.851241037451375,2.4924916056345916,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3409,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,6.763793354131637,5.837140803949378,8.310248414416114,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,A_seed3409,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,5.453895782627803,4.639647075228064,6.690216127799045,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3407,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,1.8141307258800785,1.636024201450978,2.0621771358379557,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3407,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,5.563761665019894,4.683064404383493,7.038329621370432,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3407,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,4.370385822890932,3.681483479693632,5.601472116359901,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3408,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,1.9210686236702956,1.6735616885720448,2.2927029494804,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3408,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,5.596163274755391,4.9053234567827575,6.635007648824126,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3408,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,2.6083264327467686,2.3760067420462727,2.919722518726848,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3409,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,2.420892146077515,2.111294663937937,2.8849804589621293,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3409,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.609238179997773,3.120926675417106,4.410497504318759,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,B_seed3409,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.115691028679276,2.8051647435451725,3.6470024814368966,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3407,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,1.7632494687132092,1.5335701303828575,2.067559624657263,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3407,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.4903904192037847,3.1697803562370828,3.959461950064479,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3407,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.2423776948811684,2.9252131268652044,3.6968787752708767,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3408,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,1.7000446712245054,1.497760012970334,1.973281211862134,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3408,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.4464817837115582,3.0058844279782138,4.195301808754048,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3408,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.3794323348119333,2.9495895163778303,4.038556544240378,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3409,first80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,1.7535869422287726,1.526898948081853,2.0728604991781023,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3409,last80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.8480397381549207,3.4087077422208907,4.578161289865853,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
D0-A_CONTENT_WINDOW_DESCRIPTIVE,C_seed3409,overlap80,CONTENT_CONFOUNDED_LENGTH_DIAGNOSTIC,3.341926845781964,2.9676544615397806,3.887882662586806,400,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,False
