study,representation,diagnostic_view,historical_reference,diagnostic_not_historical,paired_standardized_embedding_difference,ci95_lower,ci95_upper,gate_absolute_effect_ge_0_10,n_rows,n_final_invalid,evidence_level,execution_status,reason
D0-D_MASK_PADDING_SENSITIVITY,old64,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.35275926980376,1.0955315088523998,1.710812381426069,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,old64,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,5.467321704028668,4.793848480005925,6.533746519963994,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.3587759083891788,1.0878769791866145,1.7211568731024922,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,A_seed3407,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,3.2536244888105683,2.9301138917088343,3.7399020904707996,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.292955515825298,1.0493160010612188,1.6170756451762325,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,A_seed3408,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,3.2557536855611926,2.914403424264239,3.772624574427669,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.370482632723286,1.109862952222945,1.7452734957974612,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,A_seed3409,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,5.1676807880147555,4.514070282074354,6.1911021172223375,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.2782019228631545,1.0401317575424764,1.6040816681148629,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,B_seed3407,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,2.002131759220853,1.7677325225935476,2.400661174967778,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.1323150679380185,0.948677205562552,1.3693171484122888,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,B_seed3408,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,1.870418689769346,1.6304787788714545,2.282733153519907,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.2689195422536688,1.0366824258157583,1.5815811725460718,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,B_seed3409,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,2.53955305236975,2.201518774963179,3.0340437635693656,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.2587204837218888,1.0278181919933047,1.5536911033931806,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,C_seed3407,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,2.0443551717885606,1.7775569204580492,2.520356480089252,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.1541110277021012,0.94994323886526,1.4280585829300714,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,C_seed3408,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,1.9794461180406577,1.75887581989334,2.3159863379941488,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,final_valid,T150+final_hidden+historical_padding_mask_behavior,True,1.1891568739881304,0.9783911986405776,1.4528153183791377,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-D_MASK_PADDING_SENSITIVITY,C_seed3409,masked_mean,T150+final_hidden+historical_padding_mask_behavior,True,1.6699109448369165,1.4656290339089575,2.0804053574177055,True,400,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
D0-A_LENGTH_TEMPORAL_CONTRACT,ALL,CONTROLLED_LENGTH_STUDY,T150+final_hidden+historical_padding_mask_behavior,False,,,,False,0,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NOT_EVALUABLE,No frozen same-event-content T80/T150 construction exists; observed windows are content-confounded.
D0-B_MATCHED_NATURAL_POSITION_RETENTION_STUDY,ALL,MATCHED_NATURAL_POSITION,T150+final_hidden+historical_padding_mask_behavior,False,,,,False,0,265,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NOT_EVALUABLE,Stage7L historical asset lacks frozen event-anchor and matching-covariate ledger for the required matched-natural design.
