study,representation,pooling_reference,pooling_view,same_encoder_forward_hidden_sequence,paired_standardized_embedding_difference,ci95_lower,ci95_upper,gate_absolute_effect_ge_0_10,n_rows,n_scenario_clusters,evidence_level
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,old64,last,mean,True,5.436316331960487,4.731010653690339,6.590081927863752,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,old64,last,max,True,6.931274684562659,6.116685314701055,8.116545207011667,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,last,mean,True,3.2363220704721405,2.910724465814032,3.710501793443866,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3407,last,max,True,9.16752165644491,7.981587873515524,11.008327454977898,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,last,mean,True,3.2381064165329465,2.8893583015066406,3.7551807164489333,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3408,last,max,True,6.875761731970203,6.157738889265193,7.9667256990952495,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,last,mean,True,5.122277397051752,4.464573864796008,6.097899157617378,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,A_seed3409,last,max,True,5.6437073262876805,4.9674202170315205,6.734526047887236,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,last,mean,True,1.998431698488589,1.7646384200262613,2.3967160934363996,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3407,last,max,True,3.510855356045806,3.146108486561879,4.045301843639173,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,last,mean,True,1.8682049873523667,1.6339279431664517,2.3032468062979077,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3408,last,max,True,3.2944638471329655,2.9078664507637337,3.850656101898915,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,last,mean,True,2.5407038306302936,2.202136161754801,3.040309054420063,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,B_seed3409,last,max,True,8.882296422386514,7.836621539089111,10.516964970288385,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,last,mean,True,2.0397453750361474,1.7735216336576356,2.515637488913665,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3407,last,max,True,5.97986434215819,5.101383457652386,7.365384601701099,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,last,mean,True,1.9760865728779389,1.7494370092530003,2.311542642103789,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3408,last,max,True,4.815657262192182,4.2269699669745435,5.647170911667152,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,last,mean,True,1.6664206588911568,1.460024675311971,2.0492878345965444,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
D0-C_SAME_HIDDEN_SEQUENCE_POOLING_STUDY,C_seed3409,last,max,True,6.691514526380642,5.717884095386895,8.176540358497718,True,400,80,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
