run_id,scenario_token,log_id,family,smoke_arm,raw_pre_context_identity_status,raw_frames,raw_dynamic_vehicle_count_median,raw_dynamic_vehicle_count_min,raw_dynamic_vehicle_count_max,raw_stable_track_ids_ge8_frames,adapter_slot_valid_frames,adapter_target_or_front_valid_frames,neighbor_slots_from_official_observation,stable_slot_track_ids_instantiated,traffic_density_semantic_projection_instantiated,gap_relative_speed_thw_instantiated,hazard_multihot_from_official_signal_or_lead,missingness_semantically_derived,frozen_canonical_context_semantic_conformance,temporal_anchor_status,selected_offset_start_s,selected_offset_end_s,generator_common_prefix_requirement,first_planner_sample_relative_s
R-HLC__7176d7e077925838__B2R1_BASELINE,7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,13.0,11,18,12,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0005,-0.1,"[0.0,1.1)",0.0
R-HLC__7176d7e077925838__B2R1_TREATMENT,7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,13.0,11,18,12,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0005,-0.1,"[0.0,1.1)",0.0
R-HLC__bb5bcc610f3853b7__B2R1_BASELINE,bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,5.5,5,6,5,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0006,-0.1,"[0.0,1.1)",0.0
R-HLC__bb5bcc610f3853b7__B2R1_TREATMENT,bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,5.5,5,6,5,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0006,-0.1,"[0.0,1.1)",0.0
R-HLC__be449a2b6ad959d8__B2R1_BASELINE,be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,12.0,11,12,12,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0001,-0.1,"[0.0,1.1)",0.0
R-HLC__be449a2b6ad959d8__B2R1_TREATMENT,be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,12.0,11,12,12,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0001,-0.1,"[0.0,1.1)",0.0
R-HLC__f967188819ef539f__B2R1_BASELINE,f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,109.5,106,111,104,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0001,-0.1001,"[0.0,1.1)",0.0
R-HLC__f967188819ef539f__B2R1_TREATMENT,f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,109.5,106,111,104,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-1.0001,-0.1001,"[0.0,1.1)",0.0
R-HLC__40816601b19a5ca5__B2R1_BASELINE,40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,8.5,8,10,8,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1,"[0.0,1.1)",0.0
R-HLC__40816601b19a5ca5__B2R1_TREATMENT,40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,RAW_PRE_CONTEXT_IDENTITY_AVAILABLE,10,8.5,8,10,8,0,0,False,False,False,False,NOT_APPLICABLE,False,CONTEXT_CANONICALIZATION_IMPLEMENTATION_NONCONFORMANCE,TEMPORAL_ANCHOR_IMPLEMENTATION_NONCONFORMANCE,-0.9999,-0.1,"[0.0,1.1)",0.0
