scenario_token,log_id,family,mechanism_pass,engineering_pass,pair_safety_pass,mechanism_x_engineering,mechanism_x_safety,engineering_x_safety,mechanism_x_engineering_x_safety,safety_attribution
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,True,True,False,True,False,False,False,BOTH_ARMS_UNSAFE
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,True,True,False,True,False,False,False,BOTH_ARMS_UNSAFE
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,False,False,True,False,False,False,False,BOTH_ARMS_SAFE
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,False,False,False,False,False,False,False,BOTH_ARMS_UNSAFE
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,False,False,True,False,False,False,False,BOTH_ARMS_SAFE
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,False,False,False,False,False,False,False,BASELINE_ONLY_UNSAFE
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,True,True,False,True,False,False,False,BOTH_ARMS_UNSAFE
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,False,False,True,False,False,False,False,BOTH_ARMS_SAFE
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,True,True,False,True,False,False,False,BOTH_ARMS_UNSAFE
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,True,True,False,True,False,False,False,BOTH_ARMS_UNSAFE
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,True,False,False,False,False,False,False,BOTH_ARMS_UNSAFE
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,True,True,False,True,False,False,False,BASELINE_ONLY_UNSAFE
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,True,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,False,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,True,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,False,NOT_APPLICABLE,True,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_SAFE
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,False,NOT_APPLICABLE,True,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_SAFE
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,False,NOT_APPLICABLE,True,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_SAFE
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,True,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,True,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,True,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,False,NOT_APPLICABLE,True,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_SAFE
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,False,NOT_APPLICABLE,False,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_UNSAFE
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,False,NOT_APPLICABLE,True,NOT_APPLICABLE,False,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_ARMS_SAFE
