scenario_token,log_id,direction,source_lane_id,target_lane_id,lane_separation_median_m,lane_separation_min_m,lane_separation_max_m,aligned_reference_point_count,reference_length_overlap_m,lane_separation_coefficient_of_variation,tangent_heading_delta_median_rad,tangent_heading_delta_max_rad,source_curvature_median_abs_inv_m,source_curvature_max_abs_inv_m,target_curvature_median_abs_inv_m,target_curvature_max_abs_inv_m,curvature_median_abs_difference,direction_consistency_fraction,source_self_intersections,target_self_intersections,source_reversal_segments,target_reversal_segments,required_7p9s_reference_m,source_remaining_reference_m,target_remaining_reference_m,native_8s_reference_coverage,secondary_heading_delta_near_2pi,mechanism_pass,engineering_pass,pair_safety_pass
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,RIGHT,18556,18557,3.299871,3.280385,3.376078,389,96.775694,0.007118,0.001067,0.019536,0.0,0.002224,0.0,0.005643,0.0,1.0,0,0,0,0,73.997009,77.296875,77.26053,True,False,True,True,False
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,RIGHT,18516,18517,2.985603,2.942003,3.03715,422,104.724051,0.008362,0.001558,0.009473,0.0,0.004779,0.0,0.082281,0.0,1.0,0,0,0,0,120.973324,85.010813,84.80553,False,False,True,True,False
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,RIGHT,18556,18557,3.299871,3.280385,3.376078,389,96.775694,0.007118,0.001067,0.019536,0.0,0.002224,0.0,0.005643,0.0,1.0,0,0,0,0,0.003429,28.609577,28.568888,True,True,False,False,True
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,LEFT,63369,63366,3.23799,3.207157,3.274504,58,14.072537,0.007424,0.005538,0.009582,0.0,0.011821,0.001,0.001085,0.001,1.0,0,0,0,0,0.013114,2.796778,2.837861,True,True,False,False,False
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,RIGHT,18745,18744,4.527828,3.527101,5.148466,301,74.584368,0.136506,0.027815,0.074731,0.016426,0.023432,0.014869,0.025256,0.001557,1.0,0,0,0,0,0.016701,5.341362,9.124689,True,True,False,False,True
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,LEFT,18510,18509,3.222398,3.201522,3.224836,132,32.521763,0.000715,0.000153,0.000531,0.0,0.000652,0.0,0.005746,0.0,1.0,0,0,0,0,0.009922,5.503217,5.715811,True,True,False,False,False
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,RIGHT,19807,19828,3.314329,3.275772,3.353197,273,67.901829,0.006742,0.001134,0.001262,0.0,0.000823,0.0,0.000657,0.0,1.0,0,0,0,0,66.171822,37.271618,37.333478,False,False,True,True,False
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,LEFT,18503,18502,3.358839,3.302104,3.40009,386,96.133823,0.007629,0.000936,0.007889,0.0,0.001,0.0,0.001,0.0,1.0,0,0,0,0,0.002733,3.657548,3.074356,True,True,False,False,True
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,LEFT,67570,67227,3.20935,3.196458,3.226884,97,23.782553,0.002314,0.002776,0.007466,0.001,0.001,0.00098,0.004361,2e-05,1.0,0,0,0,0,74.148626,5.363859,5.232522,False,False,True,True,False
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,RIGHT,18516,18517,2.985603,2.942003,3.03715,422,104.724051,0.008362,0.001558,0.009473,0.0,0.004779,0.0,0.082281,0.0,1.0,0,0,0,0,68.708425,25.311118,25.080575,False,False,True,True,False
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,LEFT,18255,18253,3.191119,3.186748,3.195544,168,41.684444,0.000805,0.000212,0.000212,0.0,1e-06,0.0,0.0,0.0,1.0,0,0,0,0,7.912909,22.500246,22.525526,True,False,True,False,False
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,LEFT,18514,18512,3.178659,3.118085,3.238509,85,20.839114,0.011138,0.005775,0.005775,0.0,1e-06,0.0,0.000418,0.0,1.0,0,0,0,0,48.584107,15.025835,15.062544,False,False,True,True,False
