scenario_token,log_id,measurement_source,baseline_retreat_count,treatment_retreat_count,baseline_commit_latency_s,treatment_commit_latency_s,commit_latency_delta_s,baseline_monotonic_fraction,treatment_monotonic_fraction,monotonic_delta,mechanism_pair_pass,failure_reasons,forensic_class,secondary_heading_delta_near_2pi,engineering_pass,baseline_continuity_position_max_m,treatment_continuity_position_max_m
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,REPLAN_DISCONTINUITY,False,True,0.793227,0.745366
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,REALIZED_EGO_SEQUENCE,0,0,2.8,6.0,3.2,1.0,0.954557,-0.045443,False,TREATMENT_RETREAT_LT_ONE|MONOTONIC_PENALTY_LT_0P1,RETREAT_NOT_RETAINED,False,True,0.793227,0.745366
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,PLANNED_FIRST_OUTPUT,0,1,2.4,5.6,3.2,1.0,0.872697,-0.127303,True,,MECHANISM_RETAINED,False,True,0.684666,0.661081
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,REALIZED_EGO_SEQUENCE,0,1,2.7,5.9,3.2,1.0,0.862381,-0.137619,True,,MECHANISM_RETAINED,False,True,0.684666,0.661081
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,PLANNED_FIRST_OUTPUT,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.916591,4.830728
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,REALIZED_EGO_SEQUENCE,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.916591,4.830728
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,PLANNED_FIRST_OUTPUT,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.990831,4.863528
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,REALIZED_EGO_SEQUENCE,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.990831,4.863528
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,PLANNED_FIRST_OUTPUT,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.788126,4.678725
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,REALIZED_EGO_SEQUENCE,,,,,,,,,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,GEOMETRY_PROJECTION,True,False,3.788126,4.678725
