scenario_token,log_id,family,measurement_source,evaluation_status,mechanism_pair_status,mechanism_pair_pass,mechanism_failure_reasons,baseline_timestamp_max_deviation_s,treatment_timestamp_max_deviation_s,primary_f_match_status,primary_f_match_pass,baseline_status,treatment_status,baseline_retreat_or_phase_count,treatment_retreat_or_phase_count,baseline_commit_latency_s,treatment_commit_latency_s,baseline_monotonic_fraction,treatment_monotonic_fraction,treatment_release_fraction,treatment_second_peak_ratio
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,TREATMENT_RETREAT_LT_ONE|MONOTONIC_PENALTY_LT_0P1,0.000606,0.000606,F_MATCH_PASS,True,OK,OK,0,0,2.8,6.0,1.0,0.954557,,
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.0,0.0,F_MATCH_PASS,True,OK,OK,0,1,2.4,5.6,1.0,0.872697,,
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_PASS,True,,0.000909,0.000909,F_MATCH_PASS,True,OK,OK,0,1,2.7,5.9,1.0,0.862381,,
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.000302,0.000302,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.001011,0.001011,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,PLANNED_FIRST_OUTPUT,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.0,0.0,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,REALIZED_EGO_SEQUENCE,EVALUATED_80_CONSECUTIVE_ITERATIONS_ON_FROZEN_INDEX_GRID_NO_INTERPOLATION,HLC_MECHANISM_PAIR_FAIL,False,MEASUREMENT_NOT_OK|BASELINE_RETREAT_NOT_ZERO|TREATMENT_RETREAT_LT_ONE|COMMIT_LATENCY_NOT_EVALUABLE|MONOTONIC_NOT_EVALUABLE,0.001728,0.001728,F_MATCH_PASS,True,LOW_SPEED_TRANSITION,LOW_SPEED_TRANSITION,,,,,,,,
