run_id,scenario_token,log_id,family,smoke_arm,planner_call_count,position_error_m_min,position_error_m_median,position_error_m_p95,position_error_m_max,heading_error_rad_median,heading_error_rad_p95,heading_error_rad_max,speed_error_mps_median,speed_error_mps_p95,speed_error_mps_max,timestamp_error_us_median,timestamp_error_us_max,exact_first_state_continuity
R-HLC__7176d7e077925838__B2R1_BASELINE,7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.145786,0.227349,0.732678,0.793227,0.01414,0.139032,0.187506,0.000129,0.186338,0.292155,0.0,0,False
R-HLC__7176d7e077925838__B2R1_TREATMENT,7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.127585,0.291412,0.66091,0.745366,0.033885,0.11848,0.148766,0.006223,0.093822,0.11124,0.0,0,False
R-HLC__bb5bcc610f3853b7__B2R1_BASELINE,bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.021677,0.126906,0.581273,0.684666,0.008914,0.066084,0.108722,7e-05,0.061472,0.145875,0.0,0,False
R-HLC__bb5bcc610f3853b7__B2R1_TREATMENT,bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.009668,0.170943,0.588216,0.661081,0.017854,0.060331,0.085265,0.002389,0.037877,0.051491,0.0,0,False
R-HLC__be449a2b6ad959d8__B2R1_BASELINE,be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,150,0.085576,3.854947,3.898459,3.916591,1.062045,1.539443,1.599157,0.014196,0.980805,1.558119,0.0,0,False
R-HLC__be449a2b6ad959d8__B2R1_TREATMENT,be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,150,0.085576,4.816655,4.83071,4.830728,0.985075,1.641124,1.663149,0.068199,0.751888,1.091739,0.0,0,False
R-HLC__f967188819ef539f__B2R1_BASELINE,f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,149,0.208356,3.928534,3.972784,3.990831,0.989381,1.51555,1.605338,0.014527,0.977682,1.553636,0.0,0,False
R-HLC__f967188819ef539f__B2R1_TREATMENT,f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,149,0.208356,4.85673,4.863438,4.863528,0.987323,1.621904,1.655828,0.06917,0.749503,1.090381,0.0,0,False
R-HLC__40816601b19a5ca5__B2R1_BASELINE,40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,150,0.16235,3.751481,3.780644,3.788126,0.966695,1.495884,1.566523,0.014713,0.940896,1.492276,0.0,0,False
R-HLC__40816601b19a5ca5__B2R1_TREATMENT,40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,150,0.162351,4.661726,4.678646,4.678725,0.930183,1.641216,1.676001,0.065306,0.720743,1.044921,0.0,0,False
