scenario_token,log_id,family,safety_attribution,development_diagnosis,baseline_collision,treatment_collision,baseline_offroad,treatment_offroad,baseline_safety_pass,treatment_safety_pass,failure_overlap_collision,failure_overlap_offroad
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,False,False,True,True,False,False,False,True
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,True,True,False,False,True,True
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,False,False,False,False,True,False
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,BASELINE_ONLY_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,False,False,True,False,False,True,False,False
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,False,False,True,True,False,False,False,True
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,False,False,False,False,True,False
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,False,False,True,True,False,False,False,True
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,False,False,False,False,True,False
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,BASELINE_ONLY_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,False,False,False,False,True,False,False
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,False,False,False,False,True,False
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,False,False,False,False,True,False
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,False,False,True,True,False,False,False,True
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,True,True,False,False,True,True
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,False,False,True,True,False,False,False,True
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,True,True,False,False,True,True
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,BOTH_ARMS_UNSAFE,SCENARIO_OR_BASELINE_APPLICABILITY_LIMITATION_SUPPORTED,True,True,False,True,False,False,True,False
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,BOTH_ARMS_SAFE,NO_PAIRED_SAFETY_FAILURE,False,False,False,False,True,True,False,False
