scenario_token,log_id,measurement_source,initial_speed_mps,baseline_status,treatment_status,baseline_phase_count,treatment_phase_count,treatment_release_fraction,treatment_second_peak_ratio,mechanism_pair_pass,failure_reasons,forensic_class,tsb_replan_anchor_defect,straight_line_route_realization_limitation,baseline_continuity_position_max_m,treatment_continuity_position_max_m,baseline_collision,treatment_collision,baseline_offroad,treatment_offroad,pair_safety_pass
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,PLANNED_FIRST_OUTPUT,9.415742,OK,OK,1,2,0.333333,1.0,True,,MECHANISM_RETAINED,True,True,185.486407,185.884969,True,True,False,False,False
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,REALIZED_EGO_SEQUENCE,9.415742,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,PHASE_MERGE,True,True,185.486407,185.884969,True,True,False,False,False
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,PLANNED_FIRST_OUTPUT,0.813984,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,10.935338,11.130462,True,True,False,False,False
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,REALIZED_EGO_SEQUENCE,0.813984,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,10.935338,11.130462,True,True,False,False,False
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,PLANNED_FIRST_OUTPUT,11.692447,OK,OK,1,2,0.333333,1.0,True,,MECHANISM_RETAINED,True,True,172.065721,172.382767,False,False,True,True,False
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,REALIZED_EGO_SEQUENCE,11.692447,NO_BRAKE_PHASE,NO_BRAKE_PHASE,0,0,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,PHASE_MERGE,True,True,172.065721,172.382767,False,False,True,True,False
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,PLANNED_FIRST_OUTPUT,1.032554,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,19.297428,19.659231,False,False,False,False,True
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,REALIZED_EGO_SEQUENCE,1.032554,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,19.297428,19.659231,False,False,False,False,True
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,PLANNED_FIRST_OUTPUT,0.001578,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.736885,2.836355,False,False,False,False,True
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,REALIZED_EGO_SEQUENCE,0.001578,LOW_SPEED_ENDSTOP,LOW_SPEED_ENDSTOP,,,,,False,MEASUREMENT_NOT_OK|BASELINE_PHASE_COUNT_NOT_ONE|TREATMENT_PHASE_COUNT_NOT_EXACTLY_TWO|RELEASE_FRACTION_LT_0P15|SECOND_PEAK_RATIO_LT_0P50,LOW_SPEED_ENDSTOP,True,True,2.736885,2.836355,False,False,False,False,True
