source_partition,db_path,db_file,size_bytes,mtime_utc,sqlite_readable,schema_sha256,db_fingerprint_sha256,scenario_tag_count,unique_scenario_token_count,token_set_sha256,log_count,log_ids,locations,map_versions,map_compatible,status,error
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.05.12.22.00.38_veh-35_01008_01518.db,2021.05.12.22.00.38_veh-35_01008_01518.db,336044032,2022-09-23T05:45:46+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,a0eb28569c4fc9e2c3b058408d0d931126a2cedc6a0246ac288268133e990164,13812,6462,085ae9f0c9160bcc8e6a3069f1bf5fad6e199edac128cc726808b3b0862f7540,1,2021.05.12.22.00.38_veh-35_01008_01518,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.05.12.22.28.35_veh-35_00620_01164.db,2021.05.12.22.28.35_veh-35_00620_01164.db,344469504,2022-09-23T05:45:46+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,7d412827f66fa5b72814d21d313a4aae38cdcaa042b696d7dffc39b0fb8c8623,21677,7825,99416952155653453ffafdafb9b30aae9eb4f3d58db2eefe39688e2aeb34f46a,1,2021.05.12.22.28.35_veh-35_00620_01164,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.05.12.23.36.44_veh-35_00152_00504.db,2021.05.12.23.36.44_veh-35_00152_00504.db,241618944,2022-09-23T05:45:46+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,5abed9f3b4a42b2d0ba809d791c9a76ef7a9e18cc206eedb4ea4eb0f0d6618ca,10488,4584,c5f5066cf695a6324a34f902c94d8e5e9438243d35dceac94aec3b5cdf8f9eee,1,2021.05.12.23.36.44_veh-35_00152_00504,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db,2021.05.12.23.36.44_veh-35_01133_01535.db,195244032,2022-09-23T05:45:47+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,e4df9c736b4b49eb072b5af541f7072eba4c05c16265b12a34c71c8110f9bfd6,15792,6124,db58d11017f0ef60d2125e9fd856f82ff22fdfcbd15565799f8b8d803b9a4a46,1,2021.05.12.23.36.44_veh-35_01133_01535,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.05.12.23.36.44_veh-35_02035_02387.db,2021.05.12.23.36.44_veh-35_02035_02387.db,257826816,2022-09-23T05:45:47+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,462df859f4dbec963b538da914efc7b8ab2ede829912f2e69781581d6fde9f8f,10481,4591,c87513d3f3746560dcd1497d37295e9a1ef66031cda917d2ce8473c018029336,1,2021.05.12.23.36.44_veh-35_02035_02387,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.05.25.14.16.10_veh-35_01690_02183.db,2021.05.25.14.16.10_veh-35_01690_02183.db,345374720,2022-09-23T05:46:14+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,948656dcdaa4095c76a5e06571c5f6d0cd52982dd12f21b16fc995861ea2c858,20724,8039,ed6fa36b3c26c92814a8b268eb639e0b5bf3a4d1d1831f29bbce1a7b672c7df5,1,2021.05.25.14.16.10_veh-35_01690_02183,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.06.03.12.02.06_veh-35_00233_00609.db,2021.06.03.12.02.06_veh-35_00233_00609.db,173629440,2022-09-23T05:46:52+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,2e6fd1b6027c58b3ca884c0b02085ceede1055c14ba4eca2b4a8c1adfb93ee5c,9866,5648,c631daf6d8639dd3e43b4cb58b7d63bf3f460cb9888ca68bc8cb66a53eb6fb25,1,2021.06.03.12.02.06_veh-35_00233_00609,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.06.03.13.55.17_veh-35_00073_00426.db,2021.06.03.13.55.17_veh-35_00073_00426.db,253247488,2022-09-23T05:46:54+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,8951369712de22204277cadb4811b4d0cabd58c14888f91e76f0c8f4a99cb7ce,10251,5399,cb77a2bfdc82819a5787037621421426fd841c23067eafd7c59a5a25def74c9a,1,2021.06.03.13.55.17_veh-35_00073_00426,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.06.07.12.54.00_veh-35_01843_02314.db,2021.06.07.12.54.00_veh-35_01843_02314.db,289275904,2022-09-23T05:47:02+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,d6e50d5a75a827b1b5b167ca47a6b0daeb3515cf5243f1cc019c54c74fe0e0b6,13484,7172,708a5cbc54efb0a8d54fe8d01ce46717a222f1cd9b93a63fb726135d3e423086,1,2021.06.07.12.54.00_veh-35_01843_02314,las_vegas,us-nv-las-vegas-strip,True,READY,
mini,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini/2021.06.07.18.53.26_veh-26_00005_00427.db,2021.06.07.18.53.26_veh-26_00005_00427.db,284086272,2022-09-23T05:47:06+00:00,True,bb9292e2ba0ac6dd0635e44292adac8a3830c7282c2f1f8cd8eb399f76931bd2,1c3619dd72e78d403d74763b9e9a052bc26930a8910800fb08b431cbb845d3f1,16891,7100,75f975c5173727307623de7ef1da17d815248e80354c801ca0de9095f6a9921b,1,2021.06.07.18.53.26_veh-26_00005_00427,las_vegas,us-nv-las-vegas-strip,True,READY,
