scenario_token,log_id,family,baseline_run_id,treatment_run_id,raw_history_canonical_hash_equal,canonical_context_json_hash_equal,pair_context_identity_pass,baseline_raw_history_canonical_hash,treatment_raw_history_canonical_hash,baseline_canonical_context_json_hash,treatment_canonical_context_json_hash
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,R-HLC__7176d7e077925838__B2R1_BASELINE,R-HLC__7176d7e077925838__B2R1_TREATMENT,True,True,True,c53a66f3df53f9f70ad5a6e4e102b75e746ac86d89e3685e782fc43c690942f0,c53a66f3df53f9f70ad5a6e4e102b75e746ac86d89e3685e782fc43c690942f0,3bc4752bb9eefb0496550ee7d52b461a109d5a4e2f2fd67956b25169318c6176,3bc4752bb9eefb0496550ee7d52b461a109d5a4e2f2fd67956b25169318c6176
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,R-HLC__bb5bcc610f3853b7__B2R1_BASELINE,R-HLC__bb5bcc610f3853b7__B2R1_TREATMENT,True,True,True,1884b04a29afbd4ca615b6b5b3d1ff6761df3b4a81e0bde9b8cf66d0e3a31b76,1884b04a29afbd4ca615b6b5b3d1ff6761df3b4a81e0bde9b8cf66d0e3a31b76,ee49ba5c77b1db82bfbc6453df0e9375e40bd2345ae0e3fe6a4da4659d5d9d42,ee49ba5c77b1db82bfbc6453df0e9375e40bd2345ae0e3fe6a4da4659d5d9d42
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,R-HLC__be449a2b6ad959d8__B2R1_BASELINE,R-HLC__be449a2b6ad959d8__B2R1_TREATMENT,True,True,True,58d9d0b5a0b954998ee3af6ac851abd73a526ef3463a973d495194beb1863828,58d9d0b5a0b954998ee3af6ac851abd73a526ef3463a973d495194beb1863828,0a79489ee7185a24f626094b3ac9898d115e5a84645b76d8954d1aa5cde107ac,0a79489ee7185a24f626094b3ac9898d115e5a84645b76d8954d1aa5cde107ac
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,R-HLC__f967188819ef539f__B2R1_BASELINE,R-HLC__f967188819ef539f__B2R1_TREATMENT,True,True,True,a02cb995ce2031aefa5d297b4dc7e54dcdab759688ce4ca48d18f0d95c35da62,a02cb995ce2031aefa5d297b4dc7e54dcdab759688ce4ca48d18f0d95c35da62,009b1c747f0621647155f310e823b745091f40812fef11b78b23060b2e3a9011,009b1c747f0621647155f310e823b745091f40812fef11b78b23060b2e3a9011
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,R-HLC__40816601b19a5ca5__B2R1_BASELINE,R-HLC__40816601b19a5ca5__B2R1_TREATMENT,True,True,True,46320ff24ba6f383529d651b908d2af106e7f1ee347d0c39e60f2fcbc0f05e18,46320ff24ba6f383529d651b908d2af106e7f1ee347d0c39e60f2fcbc0f05e18,e955052ed6c23b1cbb81525c2edf666d51157ebe3f7c79bf3b630773d781e83f,e955052ed6c23b1cbb81525c2edf666d51157ebe3f7c79bf3b630773d781e83f
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,R-HLC__fd93956a3f9052dc__B2R1_BASELINE,R-HLC__fd93956a3f9052dc__B2R1_TREATMENT,True,True,True,521a3b525a240e371c8a0ff97a2b04f4b7219bbf23e4f4969b4637d07ad5a48c,521a3b525a240e371c8a0ff97a2b04f4b7219bbf23e4f4969b4637d07ad5a48c,216f65e0b77a141bf681e4e9172b3b3bb4ae713c6afe6ef7160cfb9d0b7e692c,216f65e0b77a141bf681e4e9172b3b3bb4ae713c6afe6ef7160cfb9d0b7e692c
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,R-HLC__5d3f971cd6ff5a3a__B2R1_BASELINE,R-HLC__5d3f971cd6ff5a3a__B2R1_TREATMENT,True,True,True,716bd4f899d3b9c158dc6ca58ef64493e124a65d598f22a20915e80e34bfc271,716bd4f899d3b9c158dc6ca58ef64493e124a65d598f22a20915e80e34bfc271,2eba8344bb47650a82022f346e1b950161a17531145ba2d7609ad05017fa7205,2eba8344bb47650a82022f346e1b950161a17531145ba2d7609ad05017fa7205
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,R-HLC__bfdbb19e4ff85027__B2R1_BASELINE,R-HLC__bfdbb19e4ff85027__B2R1_TREATMENT,True,True,True,d7bfeb4fb9dd76d94bcd92fde6e3ac5ae18188678aa872958d3b0e98989288e1,d7bfeb4fb9dd76d94bcd92fde6e3ac5ae18188678aa872958d3b0e98989288e1,273d6fde949a9fe484d5e9f0d3c593930a820402a2559711ad4e83318b75450c,273d6fde949a9fe484d5e9f0d3c593930a820402a2559711ad4e83318b75450c
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,R-HLC__84cd23d18b58550f__B2R1_BASELINE,R-HLC__84cd23d18b58550f__B2R1_TREATMENT,True,True,True,befcf2ff81f16fee01542e68ffe643803c906c53832a408369c033bf4bd98e9f,befcf2ff81f16fee01542e68ffe643803c906c53832a408369c033bf4bd98e9f,f15ad02f6010d80b411e3d31d5e20a1f66570580b0caef84b1602d9e6fa2656f,f15ad02f6010d80b411e3d31d5e20a1f66570580b0caef84b1602d9e6fa2656f
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,R-HLC__578993bfc973525e__B2R1_BASELINE,R-HLC__578993bfc973525e__B2R1_TREATMENT,True,True,True,34929a02c55a5bd06a1cf796222c55f17d1e6816839b8dbfb0c0005f18096bda,34929a02c55a5bd06a1cf796222c55f17d1e6816839b8dbfb0c0005f18096bda,34899ed3dc651b0ad5d587de8835b47c7a6d21380d8030ecc506caba508d742f,34899ed3dc651b0ad5d587de8835b47c7a6d21380d8030ecc506caba508d742f
