scenario_token,log_id,family,baseline_run_id,treatment_run_id,technical_execution_pass,context_identity_pass,mechanism_pair_status,mechanism_pair_pass,primary_f_match_status,primary_f_match_pass,secondary_heading_change_abs_total_delta,endpoint_status,endpoint_pass,engineering_status,engineering_pass,pair_readiness
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,R-HLC__7176d7e077925838__B2R1_BASELINE,R-HLC__7176d7e077925838__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,0.339062,HLC_ENDPOINT_PASS,True,ENGINEERING_PASS,True,PAIR_REQUIRED_GATE_FAILURE
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,R-HLC__bb5bcc610f3853b7__B2R1_BASELINE,R-HLC__bb5bcc610f3853b7__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,0.182772,HLC_ENDPOINT_PASS,True,ENGINEERING_PASS,True,PAIR_REQUIRED_GATE_FAILURE
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,R-HLC__be449a2b6ad959d8__B2R1_BASELINE,R-HLC__be449a2b6ad959d8__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,6.281466,HLC_ENDPOINT_PASS,True,ENGINEERING_FAIL,False,PAIR_REQUIRED_GATE_FAILURE
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,R-HLC__f967188819ef539f__B2R1_BASELINE,R-HLC__f967188819ef539f__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,6.277052,HLC_ENDPOINT_PASS,True,ENGINEERING_FAIL,False,PAIR_REQUIRED_GATE_FAILURE
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,R-HLC__40816601b19a5ca5__B2R1_BASELINE,R-HLC__40816601b19a5ca5__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,6.275099,HLC_ENDPOINT_PASS,True,ENGINEERING_FAIL,False,PAIR_REQUIRED_GATE_FAILURE
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,R-HLC__fd93956a3f9052dc__B2R1_BASELINE,R-HLC__fd93956a3f9052dc__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,6.278438,HLC_ENDPOINT_PASS,True,ENGINEERING_FAIL,False,PAIR_REQUIRED_GATE_FAILURE
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,R-HLC__5d3f971cd6ff5a3a__B2R1_BASELINE,R-HLC__5d3f971cd6ff5a3a__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,0.393051,HLC_ENDPOINT_PASS,True,ENGINEERING_PASS,True,PAIR_REQUIRED_GATE_FAILURE
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,R-HLC__bfdbb19e4ff85027__B2R1_BASELINE,R-HLC__bfdbb19e4ff85027__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_FAIL,False,F_MATCH_PASS,True,6.281898,HLC_ENDPOINT_PASS,True,ENGINEERING_FAIL,False,PAIR_REQUIRED_GATE_FAILURE
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,R-HLC__84cd23d18b58550f__B2R1_BASELINE,R-HLC__84cd23d18b58550f__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,0.373456,HLC_ENDPOINT_PASS,True,ENGINEERING_PASS,True,PAIR_REQUIRED_GATE_FAILURE
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,R-HLC__578993bfc973525e__B2R1_BASELINE,R-HLC__578993bfc973525e__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,0.339528,HLC_ENDPOINT_PASS,True,ENGINEERING_PASS,True,PAIR_REQUIRED_GATE_FAILURE
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,R-HLC__d42842ff6aca5f6f__B2R1_BASELINE,R-HLC__d42842ff6aca5f6f__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,3.21777,HLC_ENDPOINT_PASS,True,ENGINEERING_FAIL,False,PAIR_REQUIRED_GATE_FAILURE
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,R-HLC__14f06b5194ff5c85__B2R1_BASELINE,R-HLC__14f06b5194ff5c85__B2R1_TREATMENT,True,True,HLC_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,0.549705,HLC_ENDPOINT_PASS,True,ENGINEERING_PASS,True,PAIR_REQUIRED_GATE_FAILURE
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,R-TSB__ff152a4cf9c4503b__B2R1_BASELINE,R-TSB__ff152a4cf9c4503b__B2R1_TREATMENT,True,True,TSB_MECHANISM_PAIR_PASS,True,F_MATCH_PASS,True,,NOT_APPLICABLE_TSB,True,DIAGNOSTIC_ONLY_TSB,True,PAIR_REQUIRED_GATE_FAILURE
