run_id,scenario_token,log_id,family,smoke_arm,claim_status,actual_run_number,execution_status,official_command_return_code,technical_failure_status,technical_failure_reasons,trace_sha256,planner_binding_sha256,canonical_metric_payload_sha256,command_log_sha256
R-HLC__7176d7e077925838__B2R1_BASELINE,7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,B2_1_CLAIMED_BEFORE_SIMULATION,1,EXECUTED,0,NO_TECHNICAL_FAILURE,,8a8a91767854b17dc6a3f5b846d832b3da74b3fce13d6006a2d87a87b66d6548,4490bc8e6f9a1a42e5275565d224c2c43dd77cce76cc3421fafcb39abb20368b,1c1b76418e6f1464ffd7a856111b548cd96786a35c8abdcfca9a83b172772a04,2654797c7b9fbb4a6822b6dc9a1fedcb6999a47107dc0cfa7b7661c153e731a4
R-HLC__7176d7e077925838__B2R1_TREATMENT,7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,B2_1_CLAIMED_BEFORE_SIMULATION,2,EXECUTED,0,NO_TECHNICAL_FAILURE,,6c3ad73070190f75cab43427fd8cf19f16ef45b3894b4d9c8644efe3c646692a,e38700711dfc0e59eac37318fd2df8a8d0507e746f2babcfb3ce63e8ed9ebf9c,1c1b76418e6f1464ffd7a856111b548cd96786a35c8abdcfca9a83b172772a04,3fbf1dcba62cffd952e15d0a1415129dae5787213be7dcbb9c6ff788ede3f433
R-HLC__bb5bcc610f3853b7__B2R1_BASELINE,bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,B2_1_CLAIMED_BEFORE_SIMULATION,3,EXECUTED,0,NO_TECHNICAL_FAILURE,,879c7464708474f2a7cfac1e0ea40215cd09c6a0b74c2457eb0542a56aa90cf5,ff35f3ff94504aadd4338eff000bb5780c6e70d171cc2d7bb2fb5db9afc43b65,ee268d7866df7c528895bf27a895a2670c3ebc540c5ed9db05601b2655e2e032,1c7029fb399852fc92f6bac5cfcb732aac3a52058107aeba6fe6a35610f2a423
R-HLC__bb5bcc610f3853b7__B2R1_TREATMENT,bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,B2_1_CLAIMED_BEFORE_SIMULATION,4,EXECUTED,0,NO_TECHNICAL_FAILURE,,d4b9b701e79afaf724b1a33e2ef0adab9e69af7f5d90180b24c3d9002e6f1877,f773dee975a6f9a515bbdd89a8da15f2e147665c8601e236db94a06464eaf1d9,ee268d7866df7c528895bf27a895a2670c3ebc540c5ed9db05601b2655e2e032,c92a063c94f0fa3a70463329c75176d9e91125bb7726a49660595dab59f390c3
R-HLC__be449a2b6ad959d8__B2R1_BASELINE,be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,B2_1_CLAIMED_BEFORE_SIMULATION,5,EXECUTED,0,NO_TECHNICAL_FAILURE,,ea81c4bd072d079e83651986e0767b9e99b5515a70fe612f3bd10eeb451e5b22,5cf027ff450c63b1df03c3ac0c9ececd4b2a3042e67febbd798a46c04d69e377,8818224f20fbc9e0ecaf4059b7d1ea7ac09f866317d35352435dc16d5014fe73,f13c3feaf91b877cf0e27257fb2ca21cbf32385e31dff2b451fd23064ded8c2e
R-HLC__be449a2b6ad959d8__B2R1_TREATMENT,be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,B2_1_CLAIMED_BEFORE_SIMULATION,6,EXECUTED,0,NO_TECHNICAL_FAILURE,,f7206fcd11cfe4fdf3b8174b66d419f1cf7fb71bbf13d09b6c95215e135980c7,5f7e1e4f5722e859578908ed0ae108821b831e33917e1ab28e0b7be3683bd243,8818224f20fbc9e0ecaf4059b7d1ea7ac09f866317d35352435dc16d5014fe73,f1d47c356c36757e4a0d0daea9109f82d5343e5714def13a40f1bd56674a1944
R-HLC__f967188819ef539f__B2R1_BASELINE,f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,B2_1_CLAIMED_BEFORE_SIMULATION,7,EXECUTED,0,NO_TECHNICAL_FAILURE,,45ba49b3d31f0df61f80ca2c7c389fafa3ce25faeb5009b8099497654f0057c1,0ac1139ff7cef02eb4d73c71f6686033e22cbfa5d831ff383b55c05ddb49ecec,d381bbd0a7a5848ae74085f72aaf4a1e9ea8063b8622e58c47799827b95cac14,6bffe4de9c625c735e08245f04b12ca2124e614ab59bf5ef128c6c6e7dde2d83
R-HLC__f967188819ef539f__B2R1_TREATMENT,f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,B2_1_CLAIMED_BEFORE_SIMULATION,8,EXECUTED,0,NO_TECHNICAL_FAILURE,,9218a87fc5650f28a7d845fb8c262abb6b22adbdf70151ca19f000c677b0222e,9fdce7ff21c84ebcd68d033cebe19dd2a1a8971e6906a1be4d4e1f6aea5936c1,d381bbd0a7a5848ae74085f72aaf4a1e9ea8063b8622e58c47799827b95cac14,5a2ca6e64d0220b530a9c58ed998d3576382e45e95f38a6c260fe30b37619e92
R-HLC__40816601b19a5ca5__B2R1_BASELINE,40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,HLC_BASELINE_DECISIVE_MONOTONIC_LANE_CHANGE,B2_1_CLAIMED_BEFORE_SIMULATION,9,EXECUTED,0,NO_TECHNICAL_FAILURE,,270a931dc2ce6ce2bd8c4e886e54c64bb2e242b98b70702e85e65b978b11436e,9407e37ca355468cb323d7d49a64dcde230b58fcda3915a27199eab4835d24c2,8818224f20fbc9e0ecaf4059b7d1ea7ac09f866317d35352435dc16d5014fe73,3035d656859104f50a070b062b6116d95c3be33f87faf993c494a79c8e97b8c3
R-HLC__40816601b19a5ca5__B2R1_TREATMENT,40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,HLC_TREATMENT_HLC_GEN_V2_OPTION_B,B2_1_CLAIMED_BEFORE_SIMULATION,10,EXECUTED,0,NO_TECHNICAL_FAILURE,,b4c41a95903a55ade59eb937be5c44233dfe269edd54f9e1c3961ec73b83207b,343802347e1996cef7489143cafa624f5fff6587ab93cf4b0ec1b94e119e3cca,8818224f20fbc9e0ecaf4059b7d1ea7ac09f866317d35352435dc16d5014fe73,8ad362cbfb4297d59d7bdbcc136094ea30b7761c12706782980d04fd301735a3
