scenario_token,log_id,family,baseline_run_id,treatment_run_id,baseline_at_fault_collision_count,treatment_at_fault_collision_count,baseline_drivable_area_compliance,treatment_drivable_area_compliance,baseline_safety_pass,treatment_safety_pass,pair_safety_pass
7176d7e077925838,2021.09.23.17.03.56_veh-45_01854_02115,R-HLC,R-HLC__7176d7e077925838__B2R1_BASELINE,R-HLC__7176d7e077925838__B2R1_TREATMENT,0,0,False,False,False,False,False
bb5bcc610f3853b7,2021.08.19.17.14.40_veh-45_00298_00804,R-HLC,R-HLC__bb5bcc610f3853b7__B2R1_BASELINE,R-HLC__bb5bcc610f3853b7__B2R1_TREATMENT,4,4,False,False,False,False,False
be449a2b6ad959d8,2021.09.27.17.06.43_veh-44_01765_01929,R-HLC,R-HLC__be449a2b6ad959d8__B2R1_BASELINE,R-HLC__be449a2b6ad959d8__B2R1_TREATMENT,0,0,True,True,True,True,True
f967188819ef539f,2021.06.23.17.31.36_veh-16_00016_00377,R-HLC,R-HLC__f967188819ef539f__B2R1_BASELINE,R-HLC__f967188819ef539f__B2R1_TREATMENT,1,1,True,True,False,False,False
40816601b19a5ca5,2021.09.28.19.55.30_veh-44_00395_01217,R-HLC,R-HLC__40816601b19a5ca5__B2R1_BASELINE,R-HLC__40816601b19a5ca5__B2R1_TREATMENT,0,0,True,True,True,True,True
fd93956a3f9052dc,2021.08.23.15.14.44_veh-08_00917_01175,R-HLC,R-HLC__fd93956a3f9052dc__B2R1_BASELINE,R-HLC__fd93956a3f9052dc__B2R1_TREATMENT,0,0,False,True,False,True,False
5d3f971cd6ff5a3a,2021.08.19.17.14.40_veh-45_02585_02856,R-HLC,R-HLC__5d3f971cd6ff5a3a__B2R1_BASELINE,R-HLC__5d3f971cd6ff5a3a__B2R1_TREATMENT,0,0,False,False,False,False,False
bfdbb19e4ff85027,2021.09.15.17.01.41_veh-45_00425_01226,R-HLC,R-HLC__bfdbb19e4ff85027__B2R1_BASELINE,R-HLC__bfdbb19e4ff85027__B2R1_TREATMENT,0,0,True,True,True,True,True
84cd23d18b58550f,2021.06.23.16.54.19_veh-35_00808_01256,R-HLC,R-HLC__84cd23d18b58550f__B2R1_BASELINE,R-HLC__84cd23d18b58550f__B2R1_TREATMENT,4,5,True,True,False,False,False
578993bfc973525e,2021.08.17.16.48.45_veh-43_02070_02652,R-HLC,R-HLC__578993bfc973525e__B2R1_BASELINE,R-HLC__578993bfc973525e__B2R1_TREATMENT,0,0,False,False,False,False,False
d42842ff6aca5f6f,2021.09.23.17.03.56_veh-45_02539_02937,R-HLC,R-HLC__d42842ff6aca5f6f__B2R1_BASELINE,R-HLC__d42842ff6aca5f6f__B2R1_TREATMENT,5,5,True,True,False,False,False
14f06b5194ff5c85,2021.09.17.14.16.24_veh-45_01972_02284,R-HLC,R-HLC__14f06b5194ff5c85__B2R1_BASELINE,R-HLC__14f06b5194ff5c85__B2R1_TREATMENT,1,0,True,True,False,True,False
ff152a4cf9c4503b,2021.08.25.17.17.57_veh-42_01356_01819,R-TSB,R-TSB__ff152a4cf9c4503b__B2R1_BASELINE,R-TSB__ff152a4cf9c4503b__B2R1_TREATMENT,7,7,True,True,False,False,False
63f974504fa15b7d,2021.08.30.16.39.44_veh-45_00866_01142,R-TSB,R-TSB__63f974504fa15b7d__B2R1_BASELINE,R-TSB__63f974504fa15b7d__B2R1_TREATMENT,1,1,True,True,False,False,False
f5f5831fd0c05819,2021.09.21.18.54.31_veh-45_01637_02127,R-TSB,R-TSB__f5f5831fd0c05819__B2R1_BASELINE,R-TSB__f5f5831fd0c05819__B2R1_TREATMENT,0,0,False,False,False,False,False
8a9802c7a8755477,2021.09.24.14.23.05_veh-45_02144_02442,R-TSB,R-TSB__8a9802c7a8755477__B2R1_BASELINE,R-TSB__8a9802c7a8755477__B2R1_TREATMENT,0,0,True,True,True,True,True
75ccfab926d352d0,2021.09.03.17.40.20_veh-42_00950_01784,R-TSB,R-TSB__75ccfab926d352d0__B2R1_BASELINE,R-TSB__75ccfab926d352d0__B2R1_TREATMENT,0,0,True,True,True,True,True
f5c321c583f95ac5,2021.09.24.14.23.05_veh-45_03426_03612,R-TSB,R-TSB__f5c321c583f95ac5__B2R1_BASELINE,R-TSB__f5c321c583f95ac5__B2R1_TREATMENT,0,0,True,True,True,True,True
d0fbbbd27a6c5882,2021.09.21.17.53.12_veh-08_02449_02583,R-TSB,R-TSB__d0fbbbd27a6c5882__B2R1_BASELINE,R-TSB__d0fbbbd27a6c5882__B2R1_TREATMENT,1,1,False,False,False,False,False
f464a2a451d85356,2021.08.27.13.08.25_veh-42_00375_01720,R-TSB,R-TSB__f464a2a451d85356__B2R1_BASELINE,R-TSB__f464a2a451d85356__B2R1_TREATMENT,0,0,False,False,False,False,False
8e39a64c0e655afb,2021.10.01.19.16.42_veh-28_02011_02410,R-TSB,R-TSB__8e39a64c0e655afb__B2R1_BASELINE,R-TSB__8e39a64c0e655afb__B2R1_TREATMENT,3,3,False,False,False,False,False
bd57b58eddb55436,2021.08.20.13.00.37_veh-08_02328_02673,R-TSB,R-TSB__bd57b58eddb55436__B2R1_BASELINE,R-TSB__bd57b58eddb55436__B2R1_TREATMENT,0,0,True,True,True,True,True
118dae215aa257e2,2021.09.17.18.16.32_veh-45_01447_01769,R-TSB,R-TSB__118dae215aa257e2__B2R1_BASELINE,R-TSB__118dae215aa257e2__B2R1_TREATMENT,2,2,True,False,False,False,False
bb5670893b7954be,2021.09.09.18.12.06_veh-42_00446_01239,R-TSB,R-TSB__bb5670893b7954be__B2R1_BASELINE,R-TSB__bb5670893b7954be__B2R1_TREATMENT,0,0,True,True,True,True,True
