source_id,source_kind,location,materialization,file_or_alias_count,session_count_from_filename,identity_status,provenance_status,independence_status,historical_exposure_status,reservation_status,scientific_compatibility,freshness_decision,level_a_raw_fresh_sessions,level_b_metadata_ready_sessions,level_c_prospective_upper_bound_sessions,evidence_sha256,notes
SRC-FROZEN-NUPLAN-MINI-TRAIN-PITTSBURGH,LOCAL_RAW_NUPLAN_DB_UNIVERSE,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache,MATERIALIZED,1624,253,BOUND_BY_S2_PREFLIGHT,BOUND_BY_R1_SOURCE_UNIVERSE,SESSION_GROUPING_BOUND,242_OF_248_SESSIONS_DECLARED_EXPOSED;243_CONFLICTED,CONFLICT_UNION_BOUND,COMPATIBLE,NOT_NEW_ALREADY_FROZEN_UNIVERSE,0,0,0,ad73c2d579e22d4d51b0c930081cbe840dd9fcfed5357bb805a9e98111402250,"The only materialized nuPlan DB payloads found; 1,624 paths collapse to 1,621 unique logs and 248 sessions in S2-PRE."
SRC-ALIAS-LOCKED-POOL-EXPANDED,SYMLINK_ALIAS_POOL,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/locked_pool_expanded_v1,MATERIALIZED_AS_SYMLINKS,1621,253,EXACT_TARGET_PATHS_OBSERVED,LOCAL_ALIAS_PROVENANCE_CLEAR,SAME_AS_FROZEN_SOURCE_GROUPS,INHERITS_TARGET_EXPOSURE,INHERITS_TARGET_RESERVATIONS,COMPATIBLE_BUT_DUPLICATE,NOT_FRESH_ALIAS_OF_FROZEN_UNIVERSE,0,0,0,962bbd7b5936b5d7c3b49126ec8f2f36d1c56b7a6a13110ee03a59501f73d806,Every alias target resolves into mini or train_pittsburgh; no additional raw identity exists.
SRC-ALIAS-LOCKED-POOL-V1,SYMLINK_ALIAS_POOL,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/locked_pool_v1,MATERIALIZED_AS_SYMLINKS,64,52,EXACT_TARGET_PATHS_OBSERVED,LOCAL_ALIAS_PROVENANCE_CLEAR,SAME_AS_FROZEN_SOURCE_GROUPS,INHERITS_TARGET_EXPOSURE,INHERITS_TARGET_RESERVATIONS,COMPATIBLE_BUT_DUPLICATE,NOT_FRESH_ALIAS_OF_FROZEN_UNIVERSE,0,0,0,d7ae014a1cc1b12ae4bd0619d5ba23fa227d4c0ba4c51fe6161ab31198d5c933,All 64 aliases resolve into the existing frozen raw DB roots.
SRC-ALIAS-MINI-NON-PITTSBURGH,SYMLINK_ALIAS_POOL,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/data/cache/mini_non_pittsburgh_v1,MATERIALIZED_AS_SYMLINKS,61,49,EXACT_TARGET_PATHS_OBSERVED,LOCAL_ALIAS_PROVENANCE_CLEAR,SAME_AS_FROZEN_SOURCE_GROUPS,INHERITS_TARGET_EXPOSURE,INHERITS_TARGET_RESERVATIONS,COMPATIBLE_BUT_DUPLICATE,NOT_FRESH_ALIAS_OF_FROZEN_UNIVERSE,0,0,0,dfc80221fe031ea01f524abb957bf7368b16d2332ef5d0c9f22c151f8edbc46a,All 61 aliases resolve into mini; the location label does not create a new independence group.
SRC-UNMATERIALIZED-NUPLAN-SPLITS,LOCAL_SPLIT_DEFINITION_DIRECTORY,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan/dataset/nuplan-v1.1/splits,EMPTY_DIRECTORY,0,0,NO_IDENTITIES_PRESENT,PATH_PROVENANCE_CLEAR_PAYLOAD_ABSENT,NOT_ASSESSABLE,UNKNOWN,UNKNOWN,POTENTIALLY_COMPATIBLE_IF_MATERIALIZED,NO_SOURCE_PAYLOAD,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,The directory exists but contains no visible split files or database payloads.
SRC-UNMATERIALIZED-DOWNLOAD-STAGING,LOCAL_DOWNLOAD_STAGING,/Users/liuqing/Projects/01_E2E_QA_Code/nuplan_downloads,NO_DATA_PAYLOAD,2,0,NO_IDENTITIES_PRESENT,ONLY_EMPTY_DOWNLOAD_LOG_OBSERVED,NOT_ASSESSABLE,UNKNOWN,UNKNOWN,POTENTIALLY_COMPATIBLE_IF_MATERIALIZED,NO_SOURCE_PAYLOAD,0,0,0,3218c9efdaf329dacd7e35b23bc4b66da09855e760fa898a7a47d451b14fa860,Only an empty curl log and filesystem metadata were observed; no download was initiated.
SRC-GIT-REACHABLE-RAW-OBJECTS,GIT_REFS_AND_LFS,refs/heads + refs/remotes + refs/tags,ONE_WAYMO_LFS_POINTER,1,0,REACHABLE_PATH_NAMES_ENUMERATED,GIT_OBJECT_PROVENANCE_CLEAR,NOT_NUPLAN_SESSION_IDENTITIES,HISTORICALLY_USED_WAYMO_TRAINING_SOURCE,NOT_A_Q_RESERVOIR,INCOMPATIBLE_WITH_FROZEN_NUPLAN_Q_REPLAY_CONTRACT,NOT_ELIGIBLE_SOURCE_TYPE,0,0,0,7f0765a271315481b4f4983a151b12ac01201361da38a470d647083158442e0e,Enumerated 106 named refs without checkout; reachable raw paths contain the existing Waymo TFRecord pointer and no nuPlan DB/archive.
SRC-LOCAL-RAW-ARCHIVES,WORKSPACE_ARCHIVE_DISCOVERY,/Users/liuqing/Projects/01_E2E_QA_Code,NO_MATCHING_ARCHIVES,6,0,NO_IDENTITIES_PRESENT,PATH_SEARCH_COMPLETE_FOR_LISTED_SUFFIXES,NOT_ASSESSABLE,UNKNOWN,UNKNOWN,POTENTIALLY_COMPATIBLE_IF_PRESENT,NO_SOURCE_PAYLOAD,0,0,0,d23af6cea4e8e780552985cbe0510b2146e02d575be73468eca3bd7398f019da,Searched outside result trees for zip/tar/tar.gz/tgz/7z/rar/db.gz payloads; none were found.
SRC-LOCAL-OUTCOME-TREES,UNTRACKED_AND_TRACKED_OUTPUT_DIRECTORIES,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs,MATERIALIZED_RESULTS,359,0,NOT_INSPECTED_BEYOND_DIRECTORY_NAMES,OUTPUT_PROVENANCE,NOT_RAW_INDEPENDENT_SOURCE,OUTCOME_FIREWALL_ACTIVE,NOT_A_SOURCE_RESERVOIR,INELIGIBLE_DERIVED_RESULTS,BLOCKED_BY_OUTCOME_FIREWALL,0,0,0,52e2c0b650aae15317705c7edcb8bfa54ae35a1ed6f5ce3fde3b4dacb320506d,"Contents were not opened for discovery because these are historical scientific/engineering result trees, not fresh raw sessions."
SRC-MOUNTED-EXTERNAL,VISIBLE_VOLUME_ROOTS,/Volumes,SYSTEM_VOLUME_ONLY,1,0,NO_EXTERNAL_DATASET_IDENTITY_VISIBLE,VISIBLE_MOUNT_METADATA_ONLY,NOT_ASSESSABLE,UNKNOWN,UNKNOWN,UNKNOWN,NO_EXTERNAL_SOURCE_VISIBLE,0,0,0,0c9e80489312b1240b20dcb4dda3d4c862319740dc53fcb42034bebb7547ffe8,Only the local Macintosh HD system volume is visible; no external dataset mount was found.
