session_id,declared_outcome_exposed,reservation_or_permanent_conflict,exposure_stage,exposure_type,development_or_evaluation_use,training_use,confidence,evidence_sources,notes
2021.05.12.22.00.38_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.05.12.22.28.35_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.05.12.23.36.44_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.05.25.14.16.10_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.03.12.02.06_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.03.13.55.17_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.07.12.54.00_veh-35,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.07.18.53.26_veh-26,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.08.12.54.54_veh-26,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.08.14.35.24_veh-26,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.08.16.31.33_veh-38,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
2021.06.09.11.54.15_veh-12,true,true,MULTI_STAGE_FROZEN_AGGREGATE,DECLARED_HISTORICAL_OUTCOME_EXPOSURE;RESERVATION_OR_PERMANENT_CONFLICT,DECLARED_IN_FROZEN_AGGREGATE,UNKNOWN_NOT_SEPARATELY_MATERIALIZED,HIGH_FOR_AGGREGATE_CLASSIFICATION;STAGE_SPECIFICITY_NOT_MATERIALIZED,docs/stageR/s2_preflight/S2_Preflight_Exposure_Exclusion_Ledger_v1.json;docs/stageR/r0/manifests/r0_nuplan_historical_use_ledger_v0.1.csv,Derived from frozen identity sets only; no historical result payload was reopened.
