session_id,exposure_class,raw_candidate_scenarios,ranked_candidates_examined,representative_log_id,representative_scenario_token,source_provenance_status,representative_source_partition,representative_source_database_fingerprint_sha256,selection_rank_sha256,execution_initial_speed_available,execution_initial_speed_mps,initial_speed_ge_3_61,native_route_available,native_route_identity,route_reference_complete,map_support_available,scenario_loadable_metadata_only,precontext_fields_available,precontext_id,production_executor_compatible,duplicate_alias_status,static_eligibility_status,exclusion_reason,ambiguity_reason,final_primary_roster_member
2021.05.12.22.00.38_veh-35,E1_UNRELATED_HISTORICAL_USE,6462,2,2021.05.12.22.00.38_veh-35_01008_01518,d0837a7f981851cb,COMPLETE,mini,a0eb28569c4fc9e2c3b058408d0d931126a2cedc6a0246ac288268133e990164,0016eaaea91e01f65f9e22b0c41c87c6036f8f0cf874d6d2add611e2f659c2e2,true,8.657141,true,true,2250b79ab39c981f3e9ccedd0f8ce7a66c5a864d9e7a44377ecac94f5bdb808e,true,true,true,true,02507cc04fe2238e76b1ae9ccb077f7fcfbedc5a48663d622fefa12b35666f0c,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_ELIGIBLE,,,false
2021.05.12.22.28.35_veh-35,E3_PRIMARY_METHOD_DEVELOPMENT,7825,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.05.12.23.36.44_veh-35,E3_PRIMARY_METHOD_DEVELOPMENT,15299,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.05.25.14.16.10_veh-35,E3_PRIMARY_METHOD_DEVELOPMENT,8039,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.06.03.12.02.06_veh-35,E3_PRIMARY_METHOD_DEVELOPMENT,5648,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.06.03.13.55.17_veh-35,E1_UNRELATED_HISTORICAL_USE,5399,1,2021.06.03.13.55.17_veh-35_00073_00426,6702b69f3e2e50b0,COMPLETE,mini,8951369712de22204277cadb4811b4d0cabd58c14888f91e76f0c8f4a99cb7ce,000359dc448cb0b93e5b5af7d0377996d5675583f9ff00e0e80675ede9ca135e,true,13.497573,true,true,905d2b0ef8c9f63e6c0059501c526cc28d4e2aead7048d68c0cbc9e92d1eb921,true,true,true,true,4dec687341f37133224043fe9d4d7f1f39e71c5e1c5247089d0f5f5098346248,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_ELIGIBLE,,,false
2021.06.07.12.54.00_veh-35,E3_PRIMARY_METHOD_DEVELOPMENT,7172,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.06.07.18.53.26_veh-26,E3_PRIMARY_METHOD_DEVELOPMENT,7100,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.06.08.12.54.54_veh-26,E3_PRIMARY_METHOD_DEVELOPMENT,7958,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
2021.06.08.14.35.24_veh-26,E3_PRIMARY_METHOD_DEVELOPMENT,7393,0,,,COMPLETE,,,,false,,false,false,,false,false,false,false,,false,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,STATIC_INELIGIBLE,EXPOSURE_POLICY_E3_E4,,false
