session_id,session_identity_status,exposure_class,v_policy_status,claim_a_raw_candidate,claim_b_raw_candidate,strict_c_raw_candidate,log_count,log_identity_status,scenario_count,scenario_token_inventory_status,timestamp_status,map_locations,map_support_status,source_fingerprint_complete,duplicate_identity_status,role_reservation_status,static_initial_speed_status,static_route_reference_status,required_ego_state_status,callback_schema_support_status,static_applicability_status,source_role_provenance_status,full_v_provenance_status,technical_binding_status,certified_v_status,statistical_cluster
2021.05.12.22.00.38_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E1_UNRELATED_HISTORICAL_USE,CANDIDATE,true,true,false,1,COMPLETE_FROZEN_LOG_KEYS,6462,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,MAP_METADATA_PRESENT_RUNTIME_SUPPORT_NOT_CERTIFIED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,CANDIDATE_POOL_ONLY_NO_FINAL_V_OR_C_RESERVATION,AMBIGUOUS_EXECUTION_INITIAL_STATE_NOT_BOUND,AMBIGUOUS_OFFICIAL_NATIVE_ROUTE_NOT_BOUND,AMBIGUOUS_EXECUTION_EXTRACTION_NOT_BOUND,BLOCKED_PRODUCTION_CALLBACK_CHAIN_NOT_BOUND,AMBIGUOUS_METADATA_INCOMPLETE,COMPLETE,INCOMPLETE_PRECONTEXT_AND_EXECUTION_BINDING,BLOCKED_SHARED_ENGINEERING_CONTRACT,NOT_CERTIFIED,2021.05.12.22.00.38_veh-35
2021.05.12.22.28.35_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,7825,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.05.12.22.28.35_veh-35
2021.05.12.23.36.44_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,3,COMPLETE_FROZEN_LOG_KEYS,15299,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.05.12.23.36.44_veh-35
2021.05.25.14.16.10_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,8039,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.05.25.14.16.10_veh-35
2021.06.03.12.02.06_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,5648,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.06.03.12.02.06_veh-35
2021.06.03.13.55.17_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E1_UNRELATED_HISTORICAL_USE,CANDIDATE,true,true,false,1,COMPLETE_FROZEN_LOG_KEYS,5399,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,MAP_METADATA_PRESENT_RUNTIME_SUPPORT_NOT_CERTIFIED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,CANDIDATE_POOL_ONLY_NO_FINAL_V_OR_C_RESERVATION,AMBIGUOUS_EXECUTION_INITIAL_STATE_NOT_BOUND,AMBIGUOUS_OFFICIAL_NATIVE_ROUTE_NOT_BOUND,AMBIGUOUS_EXECUTION_EXTRACTION_NOT_BOUND,BLOCKED_PRODUCTION_CALLBACK_CHAIN_NOT_BOUND,AMBIGUOUS_METADATA_INCOMPLETE,COMPLETE,INCOMPLETE_PRECONTEXT_AND_EXECUTION_BINDING,BLOCKED_SHARED_ENGINEERING_CONTRACT,NOT_CERTIFIED,2021.06.03.13.55.17_veh-35
2021.06.07.12.54.00_veh-35,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,7172,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.06.07.12.54.00_veh-35
2021.06.07.18.53.26_veh-26,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,7100,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.06.07.18.53.26_veh-26
2021.06.08.12.54.54_veh-26,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,7958,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.06.08.12.54.54_veh-26
2021.06.08.14.35.24_veh-26,COMPLETE_UNIQUE_FROZEN_SESSION_KEY,E3_PRIMARY_METHOD_DEVELOPMENT,EXCLUDED_E3_E4,false,false,false,1,COMPLETE_FROZEN_LOG_KEYS,7393,COMPLETE_FROZEN_COUNT_AND_HASH,COMPLETE_LOG_ACQUISITION_TIMESTAMP,las_vegas,NOT_ASSESSED_POLICY_EXCLUDED,true,NO_DUPLICATE_SESSION_ID_FROZEN_SOURCE_ALIASES_CANONICALIZED,DEVELOPMENT_ONLY_EXCLUDED_FROM_PRIMARY_V,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_ASSESSED_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,INELIGIBLE_E3_E4,COMPLETE,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_APPLICABLE_POLICY_EXCLUDED,NOT_CERTIFIED,2021.06.08.14.35.24_veh-26
