dimension_id,behavior_dimension,behavior_level,source,evidence_status,old64,A,B,C,ego13,highest_standardized_sensitivity_on_this_treatment,shared_parent_bdd,shared_parent_note,prospective_evidence_precedence,historical_posthoc_preserved
OVR.ALL,总体行为漂移,Overall,stage7,POST_HOC_STANDARDIZED_DESCRIPTIVE_EVALUATION,2.69× / Z=11.08,5.41× / Z=25.53,5.23× / Z=21.16,4.75× / Z=18.08,23.26× / Z=86.10,ego13 (within-null Z=86.10),False,N/A,UNCHANGED_BASE_EVIDENCE,False
LON.FREE_FLOW_SPEED,自由流速度,Longitudinal,none,N/A_NO_FROZEN_FREE_FLOW_SLICE,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,UNCHANGED_BASE_EVIDENCE,False
LON.ACCEL_DECEL,纵向加速/减速,Longitudinal,stage6jk,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,2.39× / Z=9.23,2.65× / Z=10.79,2.74× / Z=10.33,2.40× / Z=8.48,8.87× / Z=35.09,ego13 (within-null Z=35.09),False,N/A,UNCHANGED_BASE_EVIDENCE,False
LON.CAR_FOLLOWING,跟车行为,Longitudinal,stage6jk,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,1.85× / Z=5.63,1.61× / Z=5.43,1.72× / Z=5.25,1.59× / Z=4.61,4.81× / Z=18.74,ego13 (within-null Z=18.74),False,N/A,UNCHANGED_BASE_EVIDENCE,False
LON.CLOSING_RESPONSE,逼近前车响应,Longitudinal,stage6s_v3,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,6.84× / Z=27.98 †,7.41× / Z=26.45 †,7.39× / Z=30.60 †,6.83× / Z=28.95 †,11.14× / Z=35.91 †,ego13 (within-null Z=35.91),True,These semantic dimensions share the same parent task-level BDD and are not independent BDD tests.,UNCHANGED_BASE_EVIDENCE,False
LON.COMFORT,纵向平顺性,Longitudinal,stage6jk,SHARED_PARENT_BDD_SEMANTIC_PROXY,2.39× / Z=9.23,2.65× / Z=10.79,2.74× / Z=10.33,2.40× / Z=8.48,8.87× / Z=35.09,ego13 (within-null Z=35.09),False,N/A,UNCHANGED_BASE_EVIDENCE,False
LAT.LANE_KEEPING,车道保持,Lateral,none,N/A_NO_FROZEN_LANE_KEEPING_SLICE,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,UNCHANGED_BASE_EVIDENCE,False
LAT.LANE_CHANGE,变道行为,Lateral,stage7l_e,PROSPECTIVE_PRIMARY_B_FAILED_SECONDARY_EGO13_HOLM_SIGNIFICANT,0.58× / Z=-0.65,0.46× / Z=-0.02,0.44× / Z=-0.07,0.55× / Z=0.37,13.09× / Z=40.20,ego13 (within-null Z=40.20),False,N/A,STAGE7L_E_PRIMARY_DISPLAY,True
LAT.DYNAMICS,横向动态,Lateral,stage7l_e,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_ONLY_EGO13_HOLM_SIGNIFICANT,0.69× / Z=0.05,1.03× / Z=2.00,0.86× / Z=1.51,1.04× / Z=2.22,6.62× / Z=20.27,ego13 (within-null Z=20.27),False,N/A,STAGE7L_E_PRIMARY_DISPLAY,True
INT.FRONT_GAP_THW,前车间距/车头时距交互,Interaction,stage6s_v3,SHARED_PARENT_BDD_SEMANTIC_PROXY,6.84× / Z=27.98 †,7.41× / Z=26.45 †,7.39× / Z=30.60 †,6.83× / Z=28.95 †,11.14× / Z=35.91 †,ego13 (within-null Z=35.91),True,These semantic dimensions share the same parent task-level BDD and are not independent BDD tests.,UNCHANGED_BASE_EVIDENCE,False
INT.LONG_FOLLOWING,纵向跟车交互响应,Interaction,stage6s_v3,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,6.84× / Z=27.98 †,7.41× / Z=26.45 †,7.39× / Z=30.60 †,6.83× / Z=28.95 †,11.14× / Z=35.91 †,ego13 (within-null Z=35.91),True,These semantic dimensions share the same parent task-level BDD and are not independent BDD tests.,UNCHANGED_BASE_EVIDENCE,False
INT.LATERAL_GAP,横向间隙接受/横向交互,Interaction,none,N/A_NO_FROZEN_LATERAL_GAP_OUTCOME,N/A,N/A,N/A,N/A,N/A,N/A,False,N/A,UNCHANGED_BASE_EVIDENCE,False
INT.MERGE_YIELD_CUTIN,汇入/让行/切入响应,Interaction,stage7,POST_HOC_STANDARDIZED_DESCRIPTIVE_PROXY_ONLY,1.43× / Z=4.16,1.22× / Z=2.98,1.71× / Z=4.95,1.83× / Z=5.30,6.03× / Z=19.79,ego13 (within-null Z=19.79),False,N/A,UNCHANGED_BASE_EVIDENCE,False
