schema_version,report_id,result_id,parent_bdd_result_id,dimension_id,behavior_dimension,behavior_level,behavior_reference,target,contrast_label,task_id,evaluation_mode,n_pairs,n_scenarios,n_logs,representation_id,representation_baseline,statistic_name,null_reference,raw_mmd2,null_q95,bdd_to_null_q95_ratio,z_bdd,raw_p_value,corrected_p_value,detection_or_pass,semantic_metric,semantic_delta_target_minus_reference,semantic_95ci,semantic_direction,mapping_strength,evidence_status,provenance_path,shared_parent_bdd,interpretation,bandwidth,null_repetitions
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose25:LAT.LANE_CHANGE,stage7l_e:old64:dose25:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose25_58.5m,pure_lateral_execution_dose25_58.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0003590467266259,0.0005059263156494,0.7096818558747972,-0.0686979563253778,0.4949150508494915,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.000083 s; RMS lateral accel +0.012297 m/s²; peak yaw rate +0.003151 rad/s,"duration [-0.09987497329711914, -1.52587890625e-05]; RMS lateral accel [0.009506915386798598, 0.013160766528221984]; peak yaw rate [0.002991675846029551, 0.0033159642409863466]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",10.409256663487458,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose25:LAT.DYNAMICS,stage7l_e:old64:dose25:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose25_58.5m,pure_lateral_execution_dose25_58.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0002423019982078,0.0004146533503929,0.5843483429671009,-1.010139087051522,0.8170218297817022,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",8.8336349719559,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose50:LAT.LANE_CHANGE,stage7l_e:old64:dose50:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose50_57.0m,pure_lateral_execution_dose50_57.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0003492345462687,0.0005930746446206,0.588854285774017,-0.720610927049434,0.7442125578744213,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.099988 s; RMS lateral accel +0.025780 m/s²; peak yaw rate +0.006682 rad/s,"duration [-0.10007214546203613, -0.09995794296264648]; RMS lateral accel [0.019872056127567955, 0.02770330130312243]; peak yaw rate [0.006246215379045239, 0.007003425600231594]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",10.423564951680197,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose50:LAT.DYNAMICS,stage7l_e:old64:dose50:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose50_57.0m,pure_lateral_execution_dose50_57.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0003357068628742,0.0010213011145743,0.3287050783393246,-1.8691109610469427,0.99350006499935,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",8.771988904662962,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose75:LAT.LANE_CHANGE,stage7l_e:old64:dose75:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose75_55.5m,pure_lateral_execution_dose75_55.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0004928829800701,0.0008548597014383,0.5765659315100062,-0.7857630429926585,0.7789122108778912,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.100261 s; RMS lateral accel +0.040193 m/s²; peak yaw rate +0.010392 rad/s,"duration [-0.19987726211547852, -0.10004329681396484]; RMS lateral accel [0.03201886052614203, 0.044641006383064785]; peak yaw rate [0.009696758871944766, 0.010788992974411826]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",10.425493812946844,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose75:LAT.DYNAMICS,stage7l_e:old64:dose75:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose75_55.5m,pure_lateral_execution_dose75_55.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0010129614980254,0.0015739873235873,0.643563949242464,-0.4445130185989637,0.6470535294647054,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",8.925178340000123,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose100:LAT.LANE_CHANGE,stage7l_e:old64:dose100:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_sharp_dose100_54.0m,pure_lateral_execution_sharp_dose100_54.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0005667072021723,0.0009762912261407,0.5804694203926174,-0.6457639955813627,0.7199428005719943,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.200160 s; RMS lateral accel +0.055832 m/s²; peak yaw rate +0.014404 rad/s,"duration [-0.20041489601135254, -0.19967222213745117]; RMS lateral accel [0.044970850180745814, 0.06286575735295391]; peak yaw rate [0.013368515271013237, 0.014992355302704041]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",10.396903724413882,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:old64:dose100:LAT.DYNAMICS,stage7l_e:old64:dose100:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_sharp_dose100_54.0m,pure_lateral_execution_sharp_dose100_54.0m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,old64,old64,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0013579790724947,0.0019644326542397,0.6912830885619197,0.0482353389944827,0.4719852801471985,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",8.930627274413034,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose25:LAT.LANE_CHANGE,stage7l_e:A:dose25:LAT.LANE_CHANGE,LAT.LANE_CHANGE,变道行为,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose25_58.5m,pure_lateral_execution_dose25_58.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.LANE_CHANGE,paired,80,80,79,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0001989022049057,0.0008812027348902,0.2257167358094078,-1.2976950293728189,0.979590204097959,1.0,False,lane_change_duration_s + rms_lateral_accel_mps2 + peak_yaw_rate_radps,duration -0.000083 s; RMS lateral accel +0.012297 m/s²; peak yaw rate +0.003151 rad/s,"duration [-0.09987497329711914, -1.52587890625e-05]; RMS lateral accel [0.009506915386798598, 0.013160766528221984]; peak yaw rate [0.002991675846029551, 0.0033159642409863466]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,DIRECT_PROSPECTIVE_TREATMENT,PROSPECTIVE_SECONDARY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.741665790120581,100000
standardized_fixed_dimension_bdd_matrix_v2_stage7l,stage7l_e_prospective_evidence_addendum_v1,stage7l_e:A:dose25:LAT.DYNAMICS,stage7l_e:A:dose25:LAT.DYNAMICS,LAT.DYNAMICS,横向动态,Lateral,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_dose25_58.5m,pure_lateral_execution_dose25_58.5m | pure_lateral_execution_gentle_dose0_60.0m,LAT.DYNAMICS,paired,38,38,38,A,old64_capability_baseline_not_raw_mmd2_reference,biased_single_rbf_mmd2,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,0.0005213032817756,0.000537665155662,0.9695686549256138,1.02904799305495,0.1820681793182068,1.0,False,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_HOLM_NOT_SIGNIFICANT,outputs/stage7l_e_prospective_bdd_v1/all_bdd_cells.csv,False,"Prospective frozen Stage7L pure-lateral BDD. Physical direction comes from Stage7L-D semantic mechanism, never from the MMD sign or magnitude.",5.488781003920469,100000
