global_row,shard_id,local_row,split
55148,11,2461,test
57462,11,4775,test
144979,30,3710,test
47848,10,163,test
76814,15,4093,test
58111,12,422,test
39433,7,4414,test
80473,16,2752,test
88680,18,4257,test
70510,14,2800,test
17136,3,2130,test
66133,13,3431,test
105598,22,1166,test
123495,25,4046,test
34693,6,4675,test
113672,23,4233,test
132065,28,814,test
11259,2,1253,test
73609,15,888,test
98924,20,4497,test
148575,31,2305,test
78551,16,830,test
86508,18,2085,test
89661,19,234,test
92357,19,2930,test
138016,29,1763,test
153198,32,1927,test
54827,11,2140,test
43468,9,796,test
57928,12,239,test
73945,15,1224,test
155239,32,3968,test
142768,30,1499,test
118415,24,3967,test
70630,14,2920,test
31324,6,1306,test
115054,24,606,test
148514,31,2244,test
14648,2,4642,test
89013,18,4590,test
26528,5,1511,test
548,0,548,test
133830,28,2579,test
9639,1,4637,test
72458,14,4748,test
70525,14,2815,test
75630,15,2909,test
60544,12,2855,test
44787,9,2115,test
58112,12,423,test
97743,20,3316,test
84160,17,1430,test
46475,9,3803,test
133396,28,2145,test
139044,29,2791,test
105232,22,800,test
98710,20,4283,test
56525,11,3838,test
42110,8,2082,test
137715,29,1462,test
136309,29,56,test
48204,10,519,test
82471,16,4750,test
93882,19,4455,test
109492,23,53,test
138531,29,2278,test
147745,31,1475,test
87825,18,3402,test
28395,5,3378,test
143624,30,2355,test
142493,30,1224,test
11670,2,1664,test
107109,22,2677,test
158494,33,2222,test
39186,7,4167,test
80577,16,2856,test
70639,14,2929,test
46498,9,3826,test
54860,11,2173,test
1421,0,1421,test
162040,34,760,test
99944,21,513,test
19887,3,4881,test
105186,22,754,test
37155,7,2136,test
34311,6,4293,test
70746,14,3036,test
12263,2,2257,test
27867,5,2850,test
145272,30,4003,test
137713,29,1460,test
26310,5,1293,test
122366,25,2917,test
137606,29,1353,test
154983,32,3712,test
9365,1,4363,test
126874,27,624,test
147045,31,775,test
36909,7,1890,test
46248,9,3576,test
21231,4,1225,test
33161,6,3143,test
74397,15,1676,test
122265,25,2816,test
9734,1,4732,test
147950,31,1680,test
121622,25,2173,test
148570,31,2300,test
14896,2,4890,test
6764,1,1762,test
14645,2,4639,test
28136,5,3119,test
49120,10,1435,test
11652,2,1646,test
87826,18,3403,test
128078,27,1828,test
104105,21,4674,test
48060,10,375,test
104946,22,514,test
79152,16,1431,test
154198,32,2927,test
24371,4,4365,test
115074,24,626,test
18168,3,3162,test
87537,18,3114,test
37326,7,2307,test
8964,1,3962,test
159678,33,3406,test
95214,20,787,test
126877,27,627,test
49766,10,2081,test
75883,15,3162,test
126370,27,120,test
119744,25,295,test
107099,22,2667,test
127776,27,1526,test
162808,34,1528,test
116557,24,2109,test
58691,12,1002,test
124421,25,4972,test
34218,6,4200,test
63254,13,552,test
153731,32,2460,test
36092,7,1073,test
146598,31,328,test
119554,25,105,test
72962,15,241,test
13948,2,3942,test
30113,6,95,test
154829,32,3558,test
127140,27,890,test
58603,12,914,test
2391,0,2391,test
12535,2,2529,test
32712,6,2694,test
14040,2,4034,test
121815,25,2366,test
