global_row,shard_id,local_row,split
83245,17,515,test
98846,20,4419,test
119555,25,106,test
102969,21,3538,test
12165,2,2159,test
132064,28,813,test
89668,19,241,test
38805,7,3786,test
4697,0,4697,test
58911,12,1222,test
88678,18,4255,test
150945,31,4675,test
53598,11,911,test
39189,7,4170,test
69941,14,2231,test
140172,29,3919,test
124729,26,276,test
105313,22,881,test
163282,34,2002,test
48898,10,1213,test
136292,29,39,test
38399,7,3380,test
109514,23,75,test
55134,11,2447,test
29379,5,4362,test
69957,14,2247,test
145440,30,4171,test
66022,13,3320,test
116895,24,2447,test
109264,22,4832,test
2886,0,2886,test
55131,11,2444,test
164402,34,3122,test
84941,18,518,test
61172,12,3483,test
100021,21,590,test
23091,4,3085,test
96684,20,2257,test
52383,10,4698,test
11537,2,1531,test
80505,16,2784,test
73806,15,1085,test
99691,21,260,test
93499,19,4072,test
110500,23,1061,test
150236,31,3966,test
64420,13,1718,test
99427,20,5000,test
25206,5,189,test
118298,24,3850,test
92444,19,3017,test
14103,2,4097,test
58311,12,622,test
137677,29,1424,test
97561,20,3134,test
98134,20,3707,test
109425,22,4993,test
146611,31,341,test
126337,27,87,test
17997,3,2991,test
36513,7,1494,test
67324,13,4622,test
64156,13,1454,test
6490,1,1488,test
36364,7,1345,test
26939,5,1922,test
7074,1,2072,test
95521,20,1094,test
44030,9,1358,test
93547,19,4120,test
142769,30,1500,test
3464,0,3464,test
29264,5,4247,test
146140,30,4871,test
163752,34,2472,test
154005,32,2734,test
140174,29,3921,test
46196,9,3524,test
156402,33,130,test
108011,22,3579,test
3238,0,3238,test
17253,3,2247,test
127858,27,1608,test
80939,16,3218,test
60616,12,2927,test
81069,16,3348,test
27800,5,2783,test
150661,31,4391,test
59092,12,1403,test
88540,18,4117,test
2369,0,2369,test
154954,32,3683,test
142491,30,1222,test
31302,6,1284,test
31307,6,1289,test
116716,24,2268,test
60284,12,2595,test
69948,14,2238,test
124310,25,4861,test
108221,22,3789,test
11675,2,1669,test
117438,24,2990,test
87888,18,3465,test
95731,20,1304,test
140995,29,4742,test
116891,24,2443,test
142500,30,1231,test
145909,30,4640,test
58079,12,390,test
3393,0,3393,test
154169,32,2898,test
76784,15,4063,test
131719,28,468,test
107758,22,3326,test
8011,1,3009,test
70396,14,2686,test
22733,4,2727,test
22444,4,2438,test
17174,3,2168,test
21253,4,1247,test
93261,19,3834,test
24369,4,4363,test
14099,2,4093,test
7320,1,2318,test
80700,16,2979,test
52334,10,4649,test
76590,15,3869,test
100392,21,961,test
39867,7,4848,test
15569,3,563,test
143378,30,2109,test
8013,1,3011,test
163061,34,1781,test
116030,24,1582,test
145290,30,4021,test
17286,3,2280,test
139479,29,3226,test
3540,0,3540,test
36071,7,1052,test
53042,11,355,test
14963,2,4957,test
84157,17,1427,test
119164,24,4716,test
75502,15,2781,test
13952,2,3946,test
84629,18,206,test
63159,13,457,test
99339,20,4912,test
14093,2,4087,test
138528,29,2275,test
132174,28,923,test
142560,30,1291,test
94935,20,508,test
102591,21,3160,test
58084,12,395,test
50300,10,2615,test
106951,22,2519,test
43388,9,716,test
26159,5,1142,test
99419,20,4992,test
127139,27,889,test
