global_row,source_group,task_key,task_value,embedding_distance_to_opposite_centroid,dominant_task_metrics,shard_id,local_row,scenario_id,target_agent_id,start,window_len,split
99407,A,task_hesitation,hesitation,62.235572814941406,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",20,4980,651e63ba367b8863,46,0,80,test
99407,A,task_yield_conflict,yield_conflict,61.9073371887207,"conflict_accel_score: Δ=-0.1066, d=-0.0543; assertiveness_score: Δ=-0.04829, d=-0.0294; gap_pressure_score: Δ=0.001969, d=0.0216",20,4980,651e63ba367b8863,46,0,80,test
99407,A,task_queue_approach,queue_approach,61.82970428466797,"queue_time_to_stop: Δ=0.1391, d=0.0509; queue_final_front_gap: Δ=-0.4514, d=-0.0365; queue_creep_after_stop_score: Δ=0.007573, d=0.0312",20,4980,651e63ba367b8863,46,0,80,test
99407,A,task_lead_brake_response,lead_brake_response,61.80440139770508,"lead_brake_min_thw_after_lead_brake: Δ=0.1253, d=0.0688; lead_brake_reaction_delay: Δ=0.1217, d=0.0603; lead_brake_min_ttc_after_lead_brake: Δ=0.09133, d=0.038",20,4980,651e63ba367b8863,46,0,80,test
99407,A,task_following,following,61.76593017578125,"following_min_thw: Δ=0.07827, d=0.0437; following_min_front_distance: Δ=-0.3132, d=-0.0313; following_mean_front_distance: Δ=-0.3382, d=-0.0286",20,4980,651e63ba367b8863,46,0,80,test
157700,A,task_hesitation,hesitation,60.863948822021484,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",33,1428,226e22a0f02cca53,987,0,80,test
157700,A,task_lane_change,lane_change,60.85026550292969,"lc_gap_acceptance_score: Δ=0.003391, d=0.0369; lc_oscillation_score: Δ=-0.1004, d=-0.0302; lc_duration: Δ=0.05385, d=0.0264",33,1428,226e22a0f02cca53,987,0,80,test
150576,A,task_hesitation,hesitation,58.48201370239258,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",31,4306,f5a1dc6555701a74,2668,0,80,test
96735,B,task_hesitation,hesitation,56.528072357177734,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",20,2308,4c5df74dbac4ecb8,36,0,80,test
19414,B,task_hesitation,hesitation,55.361778259277344,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",3,4408,ebde0d6cf5951317,478,0,80,test
49047,B,task_hesitation,hesitation,50.3126106262207,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",10,1362,d1e3246b77a656eb,8,0,80,test
14813,B,task_hesitation,hesitation,44.9614143371582,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",2,4807,4ca840e2c3bcb14c,2469,0,80,test
45090,A,task_hesitation,hesitation,40.8412971496582,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",9,2418,8231ed8f910219e0,1275,0,80,test
45090,A,task_yield_conflict,yield_conflict,40.69528579711914,"conflict_accel_score: Δ=-0.1066, d=-0.0543; assertiveness_score: Δ=-0.04829, d=-0.0294; gap_pressure_score: Δ=0.001969, d=0.0216",9,2418,8231ed8f910219e0,1275,0,80,test
152391,A,task_hesitation,hesitation,40.688663482666016,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",32,1120,920e946cd40d366d,74,0,80,test
101977,A,task_hesitation,hesitation,39.93454360961914,"hesitation_lateral_velocity_sign_change_count: Δ=-0.2529, d=-0.0376; hesitation_lc_duration: Δ=0.06481, d=0.0288; hesitation_score: Δ=-0.1385, d=-0.0209",21,2546,b99575f12393d9ac,248,0,80,test
101977,A,task_lane_change,lane_change,39.40995788574219,"lc_gap_acceptance_score: Δ=0.003391, d=0.0369; lc_oscillation_score: Δ=-0.1004, d=-0.0302; lc_duration: Δ=0.05385, d=0.0264",21,2546,b99575f12393d9ac,248,0,80,test
