experiment,task_key,task_value,metric,n_A_valid,n_B_valid,mean_A,mean_B,delta_B_minus_A,effect_size,abs_effect_size
negative,task_cutin_response,cutin_response,cutin_reaction_delay_to_brake,26,25,1.580769230769231,0.8600000000000001,-0.7207692307692308,-0.5575082622049236,0.5575082622049236
negative,task_cutin_response,cutin_response,cutin_late_response_score,26,25,1.580769230769231,0.8600000000000001,-0.7207692307692308,-0.5575082622049236,0.5575082622049236
negative,task_overtake_opportunity,overtake_opportunity,overtake_target_lane_rear_gap,138,138,18.489879069120988,16.80254242385643,-1.6873366452645584,-0.1569587865417269,0.1569587865417269
negative,task_cutin_response,cutin_response,cutin_peak_decel_after_cutin,509,555,1.04341967423305,0.882786046712472,-0.1606336275205779,-0.1358034557296645,0.1358034557296645
negative,task_cutin_response,cutin_response,cutin_jerk_after_cutin,509,555,4.981145241692306,4.412242137005343,-0.5689031046869628,-0.1056358149579589,0.1056358149579589
negative,task_overtake_opportunity,overtake_opportunity,overtake_execution_rate_proxy,383,405,0.2689295039164491,0.2246913580246913,-0.0442381458917577,-0.1026951630959898,0.1026951630959898
negative,task_cutin_response,cutin_response,cutin_speed_drop_after_cutin,509,555,0.2897356477524589,0.1949430590271656,-0.0947925887252933,-0.0906833338505504,0.0906833338505504
negative,task_overtake_opportunity,overtake_opportunity,overtake_time_to_initiate,359,384,0.8729805013927576,1.0213541666666666,0.1483736652739089,0.0897062465863948,0.0897062465863948
negative,task_cutin_response,cutin_response,cutin_yielding_response_score,509,555,3.818025324288597,3.6436125915108266,-0.1744127327777702,-0.0806815678465035,0.0806815678465035
negative,task_cutin_response,cutin_response,cutin_gap_initial,509,555,11.57676104665505,11.1163565614202,-0.4604044852348501,-0.074554451885957,0.074554451885957
negative,task_lead_brake_response,lead_brake_response,lead_brake_min_thw_after_lead_brake,1677,1710,2.6020813148977435,2.7273384815768194,0.1252571666790758,0.0688037700147991,0.0688037700147991
negative,task_lead_brake_response,lead_brake_response,lead_brake_reaction_delay,661,657,2.0405446293494705,2.1622526636225268,0.1217080342730563,0.0603080716362464,0.0603080716362464
negative,task_yield_conflict,yield_conflict,conflict_accel_score,2623,2572,2.466274378671963,2.3596981175247476,-0.1065762611472154,-0.0542963758044607,0.0542963758044607
negative,task_overtake_opportunity,overtake_opportunity,overtake_target_lane_front_gap,291,316,20.406908815259374,21.028791291804257,0.6218824765448758,0.0514070670283042,0.0514070670283042
negative,task_queue_approach,queue_approach,queue_time_to_stop,777,783,2.4774774774774775,2.6166028097062584,0.1391253322287808,0.0508852866353202,0.0508852866353202
negative,task_overtake_opportunity,overtake_opportunity,overtake_min_front_gap_before,383,405,15.572265189559278,15.233985758416448,-0.3382794311428316,-0.0447691485827425,0.0447691485827425
negative,task_following,following,following_min_thw,2125,2149,2.676253002054551,2.7545257042460713,0.0782727021915201,0.0436557670289906,0.0436557670289906
negative,task_cutin_response,cutin_response,cutin_gap_min,509,555,11.151389122477685,10.943365583763466,-0.208023538714217,-0.0418314691591697,0.0418314691591697
negative,task_lead_brake_response,lead_brake_response,lead_brake_min_ttc_after_lead_brake,1659,1693,2.4248480531530183,2.5161812666801397,0.0913332135271214,0.0380052534513499,0.0380052534513499
negative,task_hesitation,hesitation,hesitation_lateral_velocity_sign_change_count,2629,2566,7.110688474705211,6.857755261106781,-0.2529332135984301,-0.0376467141017987,0.0376467141017987
pseudo,task_overtake_opportunity,overtake_opportunity,overtake_max_abs_jerk,547,107,18.612568072979226,68.69224081306814,50.07967274008892,3.9493200719281982,3.9493200719281982
pseudo,task_following,following,following_max_abs_jerk,3184,472,18.967118649713957,66.1400205295133,47.17290187979934,3.447147876224929,3.447147876224929
pseudo,task_following,following,following_aggressiveness_score,3184,472,2.0730387634858625,6.794826486199109,4.7217877227132465,3.222297313729366,3.222297313729366
pseudo,task_lead_brake_response,lead_brake_response,lead_brake_max_jerk_after_lead_brake,2439,432,18.48532354875767,63.4625544404542,44.97723089169653,3.1961267939758957,3.1961267939758957
pseudo,task_queue_approach,queue_approach,queue_stop_smoothness_score,2863,431,-3.960059560317693,-12.86985567952755,-8.909796119209858,-3.1716667761389883,3.1716667761389883
pseudo,task_queue_approach,queue_approach,queue_rms_jerk,2863,431,6.0744658881861975,19.544899010397245,13.470433122211048,3.041143892084229,3.041143892084229
pseudo,task_following,following,following_rms_jerk,3184,472,6.144909849639219,20.107425176451333,13.962515326812111,2.993524255418728,2.993524255418728
pseudo,task_overtake_opportunity,overtake_opportunity,overtake_peak_accel,547,107,1.7362232696918782,6.125137775189408,4.38891450549753,2.8496086945838175,2.8496086945838175
pseudo,task_overtake_opportunity,overtake_opportunity,overtake_peak_decel,547,107,1.802997607310966,6.979315332980171,5.176317725669206,2.7162169214186833,2.7162169214186833
pseudo,task_following,following,following_peak_decel,3184,472,1.8370985058496645,6.443433288817352,4.6063347829676875,2.5488228625298377,2.5488228625298377
pseudo,task_queue_approach,queue_approach,queue_peak_decel,2863,431,1.845653232449189,6.19481234865786,4.3491591162086705,2.457155785280738,2.457155785280738
pseudo,task_lead_brake_response,lead_brake_response,lead_brake_peak_decel_after_lead_brake,2439,432,1.5329741560284813,6.096899339952218,4.563925183923737,2.4101691699338166,2.4101691699338166
pseudo,task_yield_conflict,yield_conflict,conflict_accel_score,2365,1084,1.6339255669901516,4.658167514244385,3.0242419472542332,1.7805626023635273,1.7805626023635273
pseudo,task_cutin_response,cutin_response,cutin_min_ttc,824,114,1.7602472635872155,0.8369528454842797,-0.9232944181029358,-1.4860535606173857,1.4860535606173857
pseudo,task_cutin_response,cutin_response,cutin_jerk_after_cutin,824,114,3.505820876075747,10.3626956109378,6.856874734862053,1.4510303770221098,1.4510303770221098
pseudo,task_following,following,following_late_brake_score,3184,472,0.9894962564073496,6.099804027708943,5.110307771301594,1.4506392264637935,1.4506392264637935
pseudo,task_lane_change,lane_change,lc_sharpness_score,719,2847,0.1897511715854665,0.4977332610544082,0.3079820894689417,1.3885068346499814,1.3885068346499814
pseudo,task_cutin_response,cutin_response,cutin_min_thw,824,114,2.985097860881281,1.2806316170383965,-1.7044662438428846,-1.3807262766534063,1.3807262766534063
pseudo,task_lane_change,lane_change,lc_rms_lateral_accel,719,2847,0.4802919918778505,1.24490172054786,0.7646097286700093,1.3166720384269976,1.3166720384269976
pseudo,task_lane_change,lane_change,lc_max_lateral_speed,719,2847,1.928537125462009,3.832492855667327,1.9039557302053185,1.1877822995634022,1.1877822995634022
scene,task_lane_change,lane_change,lc_max_lateral_speed,448,4068,0.863194003195635,4.189804684305005,3.3266106811093703,2.725865635149558,2.725865635149558
scene,task_lane_change,lane_change,lc_sharpness_score,448,4068,0.0887801570474346,0.5000078281454621,0.4112276710980275,2.191826458391539,2.191826458391539
scene,task_lane_change,lane_change,lc_rms_lateral_accel,448,4068,0.2436765735106264,1.247613676294242,1.0039371027836157,1.980812674094558,1.980812674094558
scene,task_yield_conflict,yield_conflict,conflict_accel_score,1514,1144,1.1443430298399253,4.2307461052117015,3.086403075371776,1.817223059723529,1.817223059723529
scene,task_lane_change,lane_change,lc_rms_yaw_rate,448,4068,0.0192614407289081,0.2046928139435144,0.1854313732146063,1.8024131633438296,1.8024131633438296
