N_pair,bandwidth,bdd_over_null_q95,dose,exceedance_count,holm_p,holm_significant_0_05,multiplicity_role,null_mean,null_q95,null_reps,null_sd,null_seed,raw_mmd2,raw_p,raw_p_for_multiplicity,representation,status,task,z_bdd,checkpoint_or_scaler_sha256,reference_embedding_sha256,target_embedding_sha256,reference_input_feature_sha256,target_input_feature_sha256,scenario_order_and_task_mask_sha256,cell_json_sha256,paired_null_samples_sha256
80,10.409256663487458,0.7096818558747972,dose25,49491,1.0,False,SECONDARY_HOLM_39,0.00036452833517880016,0.0005059263156494463,100000,7.97928911718977e-05,2026081301,0.0003590467266259975,0.4949150508494915,0.4949150508494915,old64,COMPUTED,LAT.LANE_CHANGE,-0.06869795632537787,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,c261fe2547fa7c64eb4e329ee20fdf11c4d1193d47e97b9c202ef846c7b98f22,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,884250a46485efbe8887f1f8083db2b0856aa6c568d5b56c68da9193be16b08b,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,0dac685f62845b2c3af2615d3352ce0554fd03cde4fc39308cfc114186460d76,1ad7c724cd8b023d7ef6d48a8bf581f977d27b1d3fb747b8cf8001d94488f27f
38,8.8336349719559,0.5843483429671009,dose25,81702,1.0,False,SECONDARY_HOLM_39,0.0003041736497010406,0.0004146533503929351,100000,6.12506260635537e-05,2026081302,0.00024230199820786833,0.8170218297817022,0.8170218297817022,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.0101390870515219,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,c261fe2547fa7c64eb4e329ee20fdf11c4d1193d47e97b9c202ef846c7b98f22,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,884250a46485efbe8887f1f8083db2b0856aa6c568d5b56c68da9193be16b08b,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,88b0eb0a87c1520d19b2cc0068a97c32bf9f1b18b6749d82cbe0802002b82fe9,0ea9a30af59fa9a031846aebaa42a6c999a1edd1f4df066415e95b72a066a5ba
80,10.423564951680197,0.588854285774017,dose50,74421,1.0,False,SECONDARY_HOLM_39,0.0004174470892404117,0.0005930746446206955,100000,9.465932365321143e-05,2026081401,0.0003492345462687986,0.7442125578744213,0.7442125578744213,old64,COMPUTED,LAT.LANE_CHANGE,-0.720610927049434,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,f428dacdf162f6a36139aea4bf87456a7e2a46b550b303727dd2c5905c873930,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,02b4e28b9c2289502ce20f7928b7c658f79dec8955a7bc78e76f5e63a45190f7,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,87ba5fa273459e508632b781a772ecf858a04fa6b10d8bc98084b10042e309ae,c3863b2e7abee664e539e296a6cf503309cab6fbe8f2b776584e951edce83a99
38,8.771988904662962,0.3287050783393246,dose50,99350,1.0,False,SECONDARY_HOLM_39,0.0006913559018217077,0.0010213011145743603,100000,0.00019027711375053618,2026081402,0.0003357068628742046,0.99350006499935,0.99350006499935,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.8691109610469427,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,f428dacdf162f6a36139aea4bf87456a7e2a46b550b303727dd2c5905c873930,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,02b4e28b9c2289502ce20f7928b7c658f79dec8955a7bc78e76f5e63a45190f7,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,aa7b5e815ee3cd5b8f3367acde484bdb45716a53a78fa03feac38db9e45ab49b,e0d987a2c377c57e845ac79313be36a3150714ce166eca0bce8063b1639802f3
80,10.425493812946844,0.5765659315100062,dose75,77891,1.0,False,SECONDARY_HOLM_39,0.000599817520872785,0.0008548597014383133,100000,0.00013609006144570885,2026081501,0.0004928829800701469,0.7789122108778912,0.7789122108778912,old64,COMPUTED,LAT.LANE_CHANGE,-0.7857630429926585,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,18d70f2d078ca5d39e8f4a7061066de4d45b7406076ef95acfb7036274344458,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,47850cd1b48a9b337f66e15468d9d4ce6200cb697f9cfb06e48e15def80713f0,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,d5718d1d39e2c1e450d47c96224151b32ab3032c5583f8158b35cec91caba79d,7ad870bbd71db03928d267382a0327702899c8ead00df4f4217bc7b8281ea71f
38,8.925178340000123,0.643563949242464,dose75,64705,1.0,False,SECONDARY_HOLM_39,0.0011277269193744395,0.0015739873235873349,100000,0.00025818236260148473,2026081502,0.0010129614980254414,0.6470535294647054,0.6470535294647054,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-0.44451301859896375,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,18d70f2d078ca5d39e8f4a7061066de4d45b7406076ef95acfb7036274344458,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,47850cd1b48a9b337f66e15468d9d4ce6200cb697f9cfb06e48e15def80713f0,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,f51561fe4e30ba4da4bfd806a0f915864f534363f1db2a81515369839b284d4c,d04c934d3c4425b56884f00e6800a7df5879441f7bad671728cf394ac70a235c
80,10.396903724413882,0.5804694203926174,dose100,71994,1.0,False,SECONDARY_HOLM_39,0.0006724361970912332,0.0009762912261407883,100000,0.00016372698949204705,2026081601,0.0005667072021723411,0.7199428005719943,0.7199428005719943,old64,COMPUTED,LAT.LANE_CHANGE,-0.6457639955813627,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,95dd49dc3c691f361aae6a2e3c81d46bbfd4e5791ea67222cedb16a4d9055390,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,7a80ab3db564a78925318e9dcde59bb3a0a42f14e4d66276d751c5d727f3ec5f,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,0a80351af948933481e9ceb4e1958d1b817c43a816debb717bdb032bd600c3d6,53a4ec4ce1410ba4fd6b280a6e00a4fac3d83581e2acdad7a5cf55003ee4e010
38,8.930627274413034,0.6912830885619197,dose100,47198,1.0,False,SECONDARY_HOLM_39,0.0013401193359304324,0.001964432654239782,100000,0.0003702624867294183,2026081602,0.001357979072494766,0.47198528014719854,0.47198528014719854,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,0.048235338994482777,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,fb2594eae52fa81a0f8c101e9a4f2de094b295d934a1ee4ee06575dd7f00da46,95dd49dc3c691f361aae6a2e3c81d46bbfd4e5791ea67222cedb16a4d9055390,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,7a80ab3db564a78925318e9dcde59bb3a0a42f14e4d66276d751c5d727f3ec5f,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,f99cd03638f51d6f46cfb746391b1ae8aa8b6fb49c476509b7676c0473414353,27cfdf3d04de56f4ef58bb485167edf61d65bc8b629e56bacb025a2059d0f611
80,5.741665790120581,0.22571673580940782,dose25,97959,1.0,False,SECONDARY_HOLM_39,0.00047559654149911096,0.0008812027348902197,100000,0.00021321984775351654,2026082301,0.00019890220490574337,0.979590204097959,0.979590204097959,A_seed3407,COMPUTED,LAT.LANE_CHANGE,-1.2976950293728189,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,68cb27f9a757f3f1d1d2b565f4dba5247003e4c7743f786711362fd42e8a8b0d,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,884250a46485efbe8887f1f8083db2b0856aa6c568d5b56c68da9193be16b08b,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,c1dcd8c4842af6618ca6dbbe7f9296af3c3cfbbed0029a8cff1e3d45cc7bf831,50e13f50fe0010c0e3e0ed8f4a4267333bb3e69f3a7119581ee2abe5721160fe
38,5.488781003920469,0.9695686549256138,dose25,18206,1.0,False,SECONDARY_HOLM_39,0.000424569270540746,0.0005376651556620812,100000,9.400340109282284e-05,2026082302,0.0005213032817756549,0.18206817931820682,0.18206817931820682,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.02904799305495,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,b2dff2f067a2a4ba43929cfedc72b44adbf8d9efd10a481e0d031d99eb5a8c59,68cb27f9a757f3f1d1d2b565f4dba5247003e4c7743f786711362fd42e8a8b0d,dbea7094be6fd8d5b0145cfa7aae43e525e2b83d81cef52a53f595abd20359fd,884250a46485efbe8887f1f8083db2b0856aa6c568d5b56c68da9193be16b08b,74206af6b0d7bc5be4b16e8ef8343feebad6ced722d1d3232e4e72c6396a3ec3,701dc14bd9d5e1c64b2c36be44f04532638373824b6a7b8e6b9ba822315d1bd6,4c88857b5c78b10e00ccf1b4338e018511ea6163881ee5fbd6a0ebb458ce9251
