representation,task,dose,N_pair,bdd_over_null_q95,z_bdd,raw_p,holm_p,status
old64,LAT.LANE_CHANGE,dose25,80,0.7096818558747972,-0.06869795632537787,0.4949150508494915,1.0,COMPUTED
old64,LAT.DYNAMICS,dose25,38,0.5843483429671009,-1.0101390870515219,0.8170218297817022,1.0,LOW_N_SECONDARY_DIAGNOSTIC
old64,LAT.LANE_CHANGE,dose50,80,0.588854285774017,-0.720610927049434,0.7442125578744213,1.0,COMPUTED
old64,LAT.DYNAMICS,dose50,38,0.3287050783393246,-1.8691109610469427,0.99350006499935,1.0,LOW_N_SECONDARY_DIAGNOSTIC
old64,LAT.LANE_CHANGE,dose75,80,0.5765659315100062,-0.7857630429926585,0.7789122108778912,1.0,COMPUTED
old64,LAT.DYNAMICS,dose75,38,0.643563949242464,-0.44451301859896375,0.6470535294647054,1.0,LOW_N_SECONDARY_DIAGNOSTIC
old64,LAT.LANE_CHANGE,dose100,80,0.5804694203926174,-0.6457639955813627,0.7199428005719943,1.0,COMPUTED
old64,LAT.DYNAMICS,dose100,38,0.6912830885619197,0.048235338994482777,0.47198528014719854,1.0,LOW_N_SECONDARY_DIAGNOSTIC
A_seed3407,LAT.LANE_CHANGE,dose25,80,0.22571673580940782,-1.2976950293728189,0.979590204097959,1.0,COMPUTED
A_seed3407,LAT.DYNAMICS,dose25,38,0.9695686549256138,1.02904799305495,0.18206817931820682,1.0,LOW_N_SECONDARY_DIAGNOSTIC
A_seed3407,LAT.LANE_CHANGE,dose50,80,0.26386878021637655,-0.6708685627856825,0.6996230037699623,1.0,COMPUTED
A_seed3407,LAT.DYNAMICS,dose50,38,0.4480541109883664,-0.5624784001098788,0.5215147848521515,1.0,LOW_N_SECONDARY_DIAGNOSTIC
A_seed3407,LAT.LANE_CHANGE,dose75,80,0.5150836779342421,0.42004206506958547,0.23439765602343976,1.0,COMPUTED
A_seed3407,LAT.DYNAMICS,dose75,38,1.0329700080257944,1.7970405590834477,0.025319746802531976,0.7849121508784912,LOW_N_SECONDARY_DIAGNOSTIC
A_seed3407,LAT.LANE_CHANGE,dose100,80,0.4596285043285111,-0.021421465631160035,0.3781662183378166,1.0,COMPUTED
A_seed3407,LAT.DYNAMICS,dose100,38,1.0275829261853568,2.0002717666188974,0.03309966900330997,0.9929900700992991,LOW_N_SECONDARY_DIAGNOSTIC
B_seed3407,LAT.LANE_CHANGE,dose25,80,0.371304930077731,-0.9144400214187544,0.7720422795772043,1.0,COMPUTED
B_seed3407,LAT.DYNAMICS,dose25,38,0.9967146279527762,1.9190166031285476,0.05149948500514995,1.0,LOW_N_SECONDARY_DIAGNOSTIC
B_seed3407,LAT.LANE_CHANGE,dose50,80,0.2556577158373107,-0.8177379222348887,0.7991820081799182,1.0,COMPUTED
B_seed3407,LAT.DYNAMICS,dose50,38,0.31203569124595143,-1.094345969664666,0.8836311636883631,1.0,LOW_N_SECONDARY_DIAGNOSTIC
B_seed3407,LAT.LANE_CHANGE,dose75,80,0.5796375143586686,0.4328624731676187,0.2687173128268717,1.0,COMPUTED
B_seed3407,LAT.DYNAMICS,dose75,38,0.920785172543701,1.574298934292719,0.08323916760832392,1.0,LOW_N_SECONDARY_DIAGNOSTIC
B_seed3407,LAT.LANE_CHANGE,dose100,80,0.4358024100249059,-0.06503666023600715,0.41190588094119057,,COMPUTED
B_seed3407,LAT.DYNAMICS,dose100,38,0.8563292326513613,1.5142694880034469,0.1103388966110339,1.0,LOW_N_SECONDARY_DIAGNOSTIC
C_seed3407,LAT.LANE_CHANGE,dose25,80,0.18093932731320214,-1.433955905772885,0.9697603023969761,1.0,COMPUTED
C_seed3407,LAT.DYNAMICS,dose25,38,0.9739284960727882,1.6230759868270799,0.08481915180848192,1.0,LOW_N_SECONDARY_DIAGNOSTIC
C_seed3407,LAT.LANE_CHANGE,dose50,80,0.28448775508625035,-0.6933467927948248,0.7240327596724033,1.0,COMPUTED
C_seed3407,LAT.DYNAMICS,dose50,38,0.513029936090353,-1.1066378406550699,0.8713012869871302,1.0,LOW_N_SECONDARY_DIAGNOSTIC
C_seed3407,LAT.LANE_CHANGE,dose75,80,0.5997238872383929,0.6154715918492414,0.2064779352206478,1.0,COMPUTED
C_seed3407,LAT.DYNAMICS,dose75,38,0.9408057604463266,1.7001130407430343,0.08343916560834391,1.0,LOW_N_SECONDARY_DIAGNOSTIC
C_seed3407,LAT.LANE_CHANGE,dose100,80,0.5453479320798916,0.3730130704153008,0.26224737752622473,1.0,COMPUTED
C_seed3407,LAT.DYNAMICS,dose100,38,1.038197396953674,2.219238060468938,0.03767962320376796,1.0,LOW_N_SECONDARY_DIAGNOSTIC
ego13,LAT.LANE_CHANGE,dose25,80,12.5197366668701,39.386887100437214,9.99990000099999e-06,0.00038999610003899964,COMPUTED
