N_pair,bandwidth,bdd_over_null_q95,dose,exceedance_count,holm_p,holm_significant_0_05,multiplicity_role,null_mean,null_q95,null_reps,null_sd,null_seed,raw_mmd2,raw_p,raw_p_for_multiplicity,representation,status,task,z_bdd
80,10.409256663487458,0.7096818558747972,dose25,49491,1.0,False,SECONDARY_HOLM_39,0.00036452833517880016,0.0005059263156494463,100000,7.97928911718977e-05,2026081301,0.0003590467266259975,0.4949150508494915,0.4949150508494915,old64,COMPUTED,LAT.LANE_CHANGE,-0.06869795632537787
38,8.8336349719559,0.5843483429671009,dose25,81702,1.0,False,SECONDARY_HOLM_39,0.0003041736497010406,0.0004146533503929351,100000,6.12506260635537e-05,2026081302,0.00024230199820786833,0.8170218297817022,0.8170218297817022,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.0101390870515219
80,10.423564951680197,0.588854285774017,dose50,74421,1.0,False,SECONDARY_HOLM_39,0.0004174470892404117,0.0005930746446206955,100000,9.465932365321143e-05,2026081401,0.0003492345462687986,0.7442125578744213,0.7442125578744213,old64,COMPUTED,LAT.LANE_CHANGE,-0.720610927049434
38,8.771988904662962,0.3287050783393246,dose50,99350,1.0,False,SECONDARY_HOLM_39,0.0006913559018217077,0.0010213011145743603,100000,0.00019027711375053618,2026081402,0.0003357068628742046,0.99350006499935,0.99350006499935,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.8691109610469427
80,10.425493812946844,0.5765659315100062,dose75,77891,1.0,False,SECONDARY_HOLM_39,0.000599817520872785,0.0008548597014383133,100000,0.00013609006144570885,2026081501,0.0004928829800701469,0.7789122108778912,0.7789122108778912,old64,COMPUTED,LAT.LANE_CHANGE,-0.7857630429926585
38,8.925178340000123,0.643563949242464,dose75,64705,1.0,False,SECONDARY_HOLM_39,0.0011277269193744395,0.0015739873235873349,100000,0.00025818236260148473,2026081502,0.0010129614980254414,0.6470535294647054,0.6470535294647054,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-0.44451301859896375
80,10.396903724413882,0.5804694203926174,dose100,71994,1.0,False,SECONDARY_HOLM_39,0.0006724361970912332,0.0009762912261407883,100000,0.00016372698949204705,2026081601,0.0005667072021723411,0.7199428005719943,0.7199428005719943,old64,COMPUTED,LAT.LANE_CHANGE,-0.6457639955813627
38,8.930627274413034,0.6912830885619197,dose100,47198,1.0,False,SECONDARY_HOLM_39,0.0013401193359304324,0.001964432654239782,100000,0.0003702624867294183,2026081602,0.001357979072494766,0.47198528014719854,0.47198528014719854,old64,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,0.048235338994482777
80,5.741665790120581,0.22571673580940782,dose25,97959,1.0,False,SECONDARY_HOLM_39,0.00047559654149911096,0.0008812027348902197,100000,0.00021321984775351654,2026082301,0.00019890220490574337,0.979590204097959,0.979590204097959,A_seed3407,COMPUTED,LAT.LANE_CHANGE,-1.2976950293728189
38,5.488781003920469,0.9695686549256138,dose25,18206,1.0,False,SECONDARY_HOLM_39,0.000424569270540746,0.0005376651556620812,100000,9.400340109282284e-05,2026082302,0.0005213032817756549,0.18206817931820682,0.18206817931820682,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.02904799305495
80,5.758697798757822,0.26386878021637655,dose50,69962,1.0,False,SECONDARY_HOLM_39,0.0006968582870126598,0.0015789149812648756,100000,0.0004177150821873549,2026082401,0.00041662637017172576,0.6996230037699623,0.6996230037699623,A_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.6708685627856825
38,5.458926897146872,0.4480541109883664,dose50,52151,1.0,False,SECONDARY_HOLM_39,0.0011085921957881073,0.0017999179402287163,100000,0.0005371434052719136,2026082402,0.0008064606325611891,0.5215147848521515,0.5215147848521515,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-0.5624784001098788
80,5.722018068872395,0.5150836779342421,dose75,23439,1.0,False,SECONDARY_HOLM_39,0.0009413810772976492,0.0022852023773045483,100000,0.0005611089641448323,2026082501,0.0011770704453261005,0.23439765602343976,0.23439765602343976,A_seed3407,COMPUTED,LAT.LANE_CHANGE,0.42004206506958547
38,5.451397066346967,1.0329700080257944,dose75,2531,0.7849121508784912,False,SECONDARY_HOLM_39,0.0022385713592138357,0.004136646528003925,100000,0.0011321171510207306,2026082502,0.004273031797232089,0.025319746802531976,0.025319746802531976,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.7970405590834477
80,5.758231847269915,0.4596285043285111,dose100,37816,1.0,False,SECONDARY_HOLM_39,0.0008711789070284403,0.0018737098031791429,100000,0.00046534970198498576,2026082601,0.0008612104343808984,0.3781662183378166,0.3781662183378166,A_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.021421465631160035
38,5.556265295938011,1.0275829261853568,dose100,3309,0.9929900700992991,False,SECONDARY_HOLM_39,0.0022597528091638343,0.004851481165426115,100000,0.0013625880485954808,2026082602,0.004985299212301713,0.03309966900330997,0.03309966900330997,A_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,2.0002717666188974
80,5.6230368499355485,0.371304930077731,dose25,77204,1.0,False,SECONDARY_HOLM_39,0.0004651213113085841,0.0007941216782739623,100000,0.00018619046968187323,2026083301,0.000294861294224724,0.7720422795772043,0.7720422795772043,B_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.9144400214187544
38,5.26290566968762,0.9967146279527762,dose25,5149,1.0,False,SECONDARY_HOLM_39,0.0003776568002470367,0.0006777906582717072,100000,0.00015523944037609743,2026083302,0.0006755638637891519,0.05149948500514995,0.05149948500514995,B_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.9190166031285476
80,5.632095540469541,0.2556577158373107,dose50,79918,1.0,False,SECONDARY_HOLM_39,0.0006295558875679735,0.0013219547112363745,100000,0.00035657874940665167,2026083401,0.0003379679219150631,0.7991820081799182,0.7991820081799182,B_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.8177379222348887
38,5.3236317501257,0.31203569124595143,dose50,88363,1.0,False,SECONDARY_HOLM_39,0.0009182248857622292,0.001502960682811475,100000,0.00041051689560598806,2026083402,0.00046897737557656576,0.8836311636883631,0.8836311636883631,B_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.094345969664666
80,5.64180200105794,0.5796375143586686,dose75,26871,1.0,False,SECONDARY_HOLM_39,0.0010087079177342547,0.002144615594274751,100000,0.0005414923887274389,2026083501,0.0012430996523202554,0.2687173128268717,0.2687173128268717,B_seed3407,COMPUTED,LAT.LANE_CHANGE,0.4328624731676187
