roster_position,scenario_token,log_name,LAT.LANE_CHANGE,LAT.DYNAMICS,official_scenario_types_json,task_mask_definition_version,selection_timing
1,f9c0035257ef5d66,2021.09.28.13.24.06_veh-44_02759_02879,True,False,"[""following_lane_without_lead""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
2,d82597c847c35acc,2021.08.20.13.00.37_veh-08_01079_01449,True,True,"[""following_lane_without_lead"",""medium_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
3,b779c434372f59e9,2021.08.25.17.17.57_veh-42_01021_01312,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
4,d397a9937bbb5743,2021.08.20.14.28.03_veh-45_02163_02317,True,False,[],stage7l_c2_pretreatment_task_masks_v1,pre_treatment
5,7430a8a9db5c500b,2021.09.10.17.09.03_veh-42_02391_02973,True,True,"[""medium_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
6,5f9abf11ed9f5f55,2021.08.19.15.03.05_veh-45_01098_01311,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
7,b3b5f44b01d35103,2021.09.15.13.06.21_veh-42_00834_01108,True,True,"[""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
8,5c6e7c3668fd55ab,2021.09.13.18.55.23_veh-45_03008_03274,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
9,13fa68b4ffa25c92,2021.08.20.13.02.56_veh-42_01204_01440,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
10,6576cbb15f8f59ec,2021.09.15.14.18.26_veh-45_01814_01926,True,True,"[""following_lane_without_lead"",""high_magnitude_speed""]",stage7l_c2_pretreatment_task_masks_v1,pre_treatment
